State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Average Participation
Connecticut,5166.0,4895.0,4882.0,4926.0,4801.0,5181.0,5125.0,5586.0,5766.0,5646.0,5715.0,5708.0,5283.083333333333
Maine,1815.0,1767.0,1757.0,1814.0,1808.0,1867.0,1857.0,1806.0,1767.0,1745.0,1800.0,1723.0,1793.8333333333333
Massachusetts,10411.0,10259.0,10018.0,10204.0,10150.0,10450.0,10453.0,10499.0,10514.0,10507.0,10445.0,10368.0,10356.5
New Hampshire,1280.0,1214.0,1238.0,1296.0,1298.0,1294.0,1223.0,1265.0,1232.0,1218.0,1200.0,1185.0,1245.25
New York,41221.0,39860.0,39259.0,38791.0,39177.0,40339.0,40679.0,40959.0,41250.0,40212.0,40368.0,39617.0,40144.333333333336
Rhode Island,1975.0,1834.0,1882.0,1887.0,1813.0,1915.0,1909.0,1976.0,2015.0,1949.0,1928.0,1967.0,1920.8333333333333
Vermont,1001.0,1043.0,1046.0,1006.0,1030.0,1043.0,1038.0,1016.0,1037.0,990.0,951.0,915.0,1009.6666666666666
"Indian Township, ME",3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,7.0,7.0,7.0,6.0,4.083333333333333
"Pleasant Point, ME",6.0,5.0,7.0,5.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,6.0,6.5
"Seneca Nation, NY",21.0,24.0,17.0,20.0,21.0,24.0,21.0,21.0,18.0,20.0,17.0,19.0,20.25
Delaware,2203.0,1921.0,1933.0,1910.0,1878.0,1916.0,1934.0,1902.0,1788.0,1781.0,1865.0,1861.0,1907.6666666666667
District of Columbia,1357.0,1332.0,1309.0,1238.0,1255.0,1308.0,1354.0,1388.0,1314.0,1272.0,1265.0,1202.0,1299.5
Maryland,14619.0,14051.0,14022.0,13457.0,13713.0,14071.0,14117.0,14182.0,14442.0,14110.0,14221.0,13824.0,14069.083333333334
New Jersey,13938.0,13496.0,13222.0,12948.0,12992.0,13539.0,13665.0,13840.0,13821.0,13698.0,13919.0,13545.0,13551.916666666666
Pennsylvania,24482.0,23854.0,23018.0,22471.0,22688.0,23331.0,23319.0,23130.0,23133.0,22563.0,22884.0,22467.0,23111.666666666668
Puerto Rico,15133.0,14428.0,14149.0,13670.0,13994.0,14079.0,14190.0,14073.0,14090.0,13861.0,13607.0,13153.0,14035.583333333334
Virginia,14406.0,13579.0,13213.0,12674.0,12553.0,13146.0,13252.0,13447.0,13523.0,13276.0,13518.0,13122.0,13309.083333333334
Virgin Islands,419.0,389.0,369.0,362.0,316.0,297.0,300.0,320.0,325.0,331.0,349.0,373.0,345.8333333333333
West Virginia,4253.0,4098.0,4031.0,4027.0,3995.0,4150.0,4061.0,4120.0,4090.0,4096.0,4263.0,4165.0,4112.416666666667
Alabama,15955.0,15092.0,14773.0,14730.0,14709.0,15135.0,15130.0,15498.0,15791.0,15686.0,15999.0,15754.0,15354.333333333334
Florida,49240.0,46618.0,44478.0,44027.0,44340.0,45626.0,46177.0,46932.0,48228.0,48292.0,48761.0,47496.0,46684.583333333336
Georgia,17988.0,17156.0,16895.0,16954.0,17546.0,18327.0,18056.0,18183.0,18317.0,17980.0,17961.0,17413.0,17731.333333333332
Kentucky,12402.0,11811.0,11492.0,11346.0,11506.0,11988.0,11880.0,11971.0,11980.0,11807.0,12129.0,11906.0,11851.5
