State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Cumulative Cost
Connecticut,1009783.0,1091767.0,1197509.0,961944.0,1182194.0,1074386.0,968160.0,1119162.0,1074428.0,1015864.0,1122798.0,1162455.0,12980450
Maine,312539.0,340921.0,344057.0,284930.0,362588.0,321526.0,286161.0,348571.0,359879.0,352864.0,371922.0,7887.0,3693845
Massachusetts,1913853.0,2115861.0,2205053.0,2010437.0,2251667.0,2106152.0,1853391.0,2148033.0,2030155.0,2067650.0,2026717.0,2053633.0,24782602
New Hampshire,511446.0,4919.0,314160.0,255135.0,301843.0,248802.0,263317.0,355670.0,263597.0,244692.0,229230.0,355209.0,3348020
New York,8248176.0,9132066.0,9342976.0,7789419.0,9619717.0,8461508.0,7769444.0,9366342.0,8393947.0,8144408.0,8795158.0,8793110.0,103856271
Rhode Island,495126.0,420700.0,472933.0,476094.0,396889.0,501540.0,442358.0,401286.0,481144.0,831949.0,7503.0,455730.0,5383252
Vermont,,,,,,,,,136.0,0.0,16318.0,8546.0,25000
"Indian Township, ME",,,,,,,,,,,,, 
"Pleasant Point, ME",,,,,,,,,,,,, 
"Seneca Nation, NY",4453.0,4235.0,3990.0,3901.0,3576.0,3802.0,3907.0,3646.0,3003.0,4095.0,4466.0,4077.0,47151
Delaware,38772.0,479817.0,775982.0,476895.0,431183.0,382498.0,449474.0,414098.0,381435.0,449092.0,454265.0,383000.0,5116511
District of Columbia,343360.0,444508.0,316368.0,311360.0,428450.0,231519.0,416277.0,291482.0,255407.0,199007.0,567611.0,140491.0,3945840
Maryland,2665550.0,528215.0,4484051.0,436539.0,596131.0,4969284.0,2291999.0,2715441.0,4527047.0,2737668.0,538936.0,2765082.0,29255943
New Jersey,2859970.0,3063462.0,3217448.0,2672708.0,3270611.0,2955073.0,2684487.0,3250774.0,2891613.0,2746244.0,3059548.0,3057322.0,35729260
Pennsylvania,350601.0,5129877.0,10043968.0,5148852.0,5028197.0,4751778.0,51301.0,5095396.0,9971814.0,4930652.0,0.0,4893844.0,55396280
Puerto Rico,1607623.0,1134649.0,1445207.0,1269257.0,1756033.0,2140749.0,1917035.0,1593361.0,1729367.0,1738589.0,1452638.0,1472305.0,19256813
Virginia,7767643.0,2584415.0,2821563.0,5435036.0,2726488.0,0.0,2377252.0,28630.0,5502127.0,0.0,5281768.0,2860595.0,37385517
Virgin Islands,84735.0,56992.0,61051.0,71767.0,66154.0,65383.0,14843.0,109083.0,81400.0,73377.0,71670.0,66948.0,823403
West Virginia,115905.0,907517.0,902694.0,0.0,1747032.0,934122.0,706138.0,983020.0,772220.0,1758190.0,889433.0,870136.0,10586407
Alabama,254678.0,6276991.0,0.0,4618038.0,239001.0,2695223.0,2268756.0,5205701.0,2425957.0,2475129.0,0.0,2643018.0,29102492
Florida,10103017.0,9991863.0,7389042.0,12851312.0,10415548.0,10428599.0,9409973.0,10821822.0,10143030.0,10364733.0,10017534.0,10278229.0,122214702
Georgia,5307383.0,5872135.0,6036757.0,4976680.0,6241877.0,5715389.0,5125149.0,5821089.0,5803666.0,5237095.0,5866301.0,5896671.0,67900192
Kentucky,2548322.0,2518720.0,2594582.0,,2427072.0,2562329.0,4775144.0,2635927.0,2437757.0,2513809.0,2444876.0,0.0,27458538
Mississippi,,,,,,,,,,,,, 
North Carolina,2498312.0,2647146.0,4025637.0,8045925.0,7227084.0,5190134.0,4373949.0,5571960.0,5134265.0,4685860.0,5111261.0,5402961.0,59914494
South Carolina,2537331.0,2565118.0,2635367.0,2443524.0,2570706.0,2517593.0,2430459.0,2487692.0,2515709.0,2420821.0,2473471.0,2493354.0,30091145
Tennessee,3530626.0,3676754.0,3793232.0,7506575.0,3684530.0,0.0,7206907.0,3659575.0,3670134.0,3669647.0,0.0,7341827.0,47739807
"Choctaw Indians, MS",,,,,,,,,,,,, 
"Eastern Cherokee, NC",1231.0,73.0,10509.0,21689.0,19046.0,11220.0,9105.0,11787.0,10011.0,8191.0,10137.0,9445.0,122444
Illinois,5407363.0,6696763.0,6564722.0,5234088.0,6332069.0,6486891.0,5456314.0,6229430.0,6018946.0,5564610.0,6251961.0,6105685.0,72348842
Indiana,3177125.0,3367018.0,3658857.0,2978972.0,3535351.0,3498922.0,2980084.0,3454370.0,3399461.0,3123449.0,3248155.0,3510260.0,39932024
Michigan,5083160.0,4942601.0,4831722.0,5081815.0,4554500.0,5015114.0,4912394.0,4453448.0,5117637.0,4676945.0,4822099.0,4663896.0,58155331
Minnesota,2186226.0,2370872.0,2582402.0,1964054.0,2597314.0,2341071.0,2014569.0,2452828.0,2345296.0,2079552.0,2318815.0,2412885.0,27665884
Ohio,5333847.0,5649763.0,5259056.0,10037032.0,429582.0,5509382.0,4463027.0,5180457.0,9509653.0,220414.0,5266067.0,5748578.0,62606858
Wisconsin,1828645.0,1967375.0,2036624.0,1747030.0,2076881.0,1926086.0,1719988.0,2014023.0,1894930.0,1820967.0,1893875.0,1947899.0,22874323
