State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
Connecticut,3001.0,2882.0,2964.0,2924.0,2778.0,2841.0,2790.0,2811.0,2852.0,2889.0,2794.0,2787.0,2859.4166666666665
Maine,1448.0,1376.0,1393.0,1395.0,1415.0,1414.0,1407.0,1385.0,1336.0,1344.0,1344.0,1348.0,1383.75
Massachusetts,7014.0,6910.0,6984.0,7060.0,6751.0,6782.0,6764.0,6601.0,6712.0,6828.0,6765.0,6886.0,6838.083333333333
New Hampshire,1148.0,1148.0,1111.0,1057.0,1027.0,984.0,1022.0,979.0,998.0,960.0,970.0,980.0,1032
New York,24290.0,24144.0,24433.0,24439.0,23929.0,23289.0,22975.0,23025.0,22883.0,22945.0,23143.0,23286.0,23565.083333333332
Rhode Island,1692.0,1634.0,1667.0,1610.0,1609.0,1595.0,1584.0,1503.0,1477.0,1535.0,1573.0,1656.0,1594.5833333333333
Vermont,765.0,767.0,712.0,712.0,676.0,648.0,640.0,625.0,612.0,665.0,625.0,644.0,674.25
"Indian Township, ME",6.0,6.0,8.0,11.0,9.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.583333333333333
"Pleasant Point, ME",1.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,6.0,5.0,2.9166666666666665
"Seneca Nation, NY",12.0,13.0,16.0,19.0,20.0,16.0,11.0,10.0,7.0,7.0,9.0,15.0,12.916666666666666
Delaware,1240.0,1355.0,1384.0,1412.0,1401.0,1361.0,1385.0,1426.0,1454.0,1434.0,1408.0,1401.0,1388.4166666666667
District of Columbia,1066.0,1066.0,1053.0,1022.0,997.0,996.0,1010.0,1001.0,992.0,964.0,959.0,953.0,1006.5833333333334
Maryland,8535.0,8756.0,8671.0,8819.0,8872.0,8607.0,8636.0,8559.0,8515.0,8365.0,8337.0,8361.0,8586.083333333334
New Jersey,9837.0,9487.0,9453.0,9479.0,9255.0,9163.0,9065.0,8980.0,9063.0,9030.0,8958.0,8951.0,9226.75
Pennsylvania,24992.0,19672.0,19625.0,19988.0,19469.0,18873.0,18796.0,18792.0,19103.0,19121.0,18851.0,18967.0,19687.416666666668
Puerto Rico,9551.0,9201.0,9425.0,9727.0,9592.0,9417.0,9172.0,8722.0,8406.0,7982.0,7926.0,7897.0,8918.166666666666
Virginia,12840.0,12922.0,12782.0,12960.0,12579.0,12533.0,12677.0,12462.0,12429.0,12374.0,12498.0,12749.0,12650.416666666666
Virgin Islands,103.0,119.0,109.0,122.0,136.0,132.0,133.0,134.0,137.0,128.0,119.0,125.0,124.75
