State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
Connecticut,54403.0,51258.0,51773.0,50799.0,49264.0,50760.0,51019.0,50715.0,51194.0,51748.0,51292.0,51320.0,51295.416666666664
Maine,22436.0,21902.0,21939.0,21645.0,21304.0,21679.0,21687.0,21649.0,21243.0,21450.0,21303.0,21137.0,21614.5
Massachusetts,115004.0,113813.0,113019.0,112159.0,109777.0,112499.0,113550.0,113175.0,113427.0,114136.0,114172.0,114411.0,113261.83333333333
New Hampshire,14835.0,14617.0,14652.0,14438.0,14296.0,14673.0,14676.0,14848.0,14989.0,14998.0,14731.0,14701.0,14704.5
New York,485855.0,476733.0,472268.0,466092.0,464158.0,467451.0,469328.0,470392.0,473108.0,472051.0,472307.0,470602.0,471695.4166666667
Rhode Island,22003.0,21287.0,21262.0,20860.0,20303.0,20372.0,20246.0,19965.0,20233.0,20441.0,20703.0,21062.0,20728.083333333332
Vermont,14273.0,14189.0,14123.0,14022.0,13858.0,13680.0,13524.0,13448.0,13332.0,13479.0,13414.0,13458.0,13733.333333333334
"Indian Township, ME",94.0,96.0,102.0,98.0,92.0,84.0,88.0,83.0,82.0,76.0,74.0,77.0,87.16666666666667
"Pleasant Point, ME",85.0,83.0,79.0,83.0,77.0,81.0,84.0,79.0,83.0,76.0,72.0,68.0,79.16666666666667
"Seneca Nation, NY",173.0,175.0,176.0,183.0,182.0,168.0,163.0,152.0,152.0,179.0,190.0,185.0,173.16666666666666
Delaware,19950.0,19377.0,19222.0,19040.0,18747.0,18518.0,18527.0,18740.0,18996.0,19077.0,18925.0,18856.0,18997.916666666668
District of Columbia,14878.0,14726.0,14554.0,14587.0,14248.0,14435.0,14554.0,14469.0,14430.0,14412.0,14524.0,14494.0,14525.916666666666
Maryland,145314.0,142980.0,142032.0,142071.0,140795.0,141869.0,142723.0,142522.0,143009.0,143180.0,143861.0,143736.0,142841
New Jersey,166410.0,161854.0,161571.0,159771.0,158376.0,160069.0,160958.0,161532.0,161805.0,162815.0,163267.0,161545.0,161664.41666666666
Pennsylvania,254657.0,250545.0,248213.0,245311.0,241906.0,242290.0,243905.0,243661.0,244610.0,245665.0,245422.0,245568.0,245979.41666666666
Puerto Rico,172806.0,165954.0,164650.0,164734.0,164791.0,165594.0,165481.0,163077.0,163759.0,162774.0,162853.0,164034.0,165042.25
Virginia,143451.0,141276.0,139418.0,139448.0,135361.0,137452.0,138608.0,139147.0,139258.0,139958.0,141068.0,141135.0,139631.66666666666
Virgin Islands,4460.0,4424.0,4343.0,4388.0,4414.0,4335.0,4404.0,4344.0,4387.0,4365.0,4296.0,4367.0,4377.25
West Virginia,43214.0,42755.0,42293.0,42436.0,40948.0,40836.0,40681.0,40815.0,41056.0,41354.0,41905.0,42120.0,41701.083333333336
Alabama,136376.0,133961.0,133102.0,133316.0,128854.0,129319.0,129133.0,130417.0,131190.0,132233.0,133771.0,133921.0,132132.75
Florida,493805.0,484113.0,476251.0,481019.0,476838.0,480884.0,479637.0,481325.0,482664.0,486736.0,490419.0,492039.0,483810.8333333333
Georgia,278604.0,270175.0,267056.0,266852.0,260281.0,260877.0,259309.0,259891.0,261172.0,262200.0,262533.0,262637.0,264298.9166666667
Kentucky,121944.0,117856.0,115470.0,115962.0,112433.0,113810.0,113911.0,115668.0,116331.0,116301.0,117460.0,117001.0,116178.91666666667
Mississippi,93012.0,91215.0,89830.0,89762.0,86946.0,86976.0,86905.0,86929.0,87726.0,87848.0,88555.0,88881.0,88715.41666666667
North Carolina,256899.0,250781.0,248284.0,248258.0,239228.0,246069.0,245384.0,245831.0,246183.0,251398.0,250190.0,250433.0,248244.83333333334
South Carolina,119950.0,117679.0,116207.0,116204.0,113913.0,113471.0,113101.0,113175.0,113674.0,113218.0,112703.0,111444.0,114561.58333333333
Tennessee,158210.0,155128.0,152687.0,151637.0,146503.0,145942.0,146579.0,147135.0,148730.0,148405.0,150333.0,150100.0,150115.75
"Choctaw Indians, MS",815.0,768.0,706.0,708.0,619.0,659.0,695.0,689.0,787.0,765.0,794.0,800.0,733.75
"Eastern Cherokee, NC",648.0,609.0,607.0,589.0,569.0,638.0,629.0,620.0,587.0,615.0,629.0,639.0,614.9166666666666
Illinois,269097.0,262192.0,258793.0,253804.0,242004.0,243970.0,243175.0,242474.0,241508.0,240170.0,237939.0,236001.0,247593.91666666666
Indiana,163050.0,158836.0,157959.0,157872.0,152859.0,153026.0,152389.0,150920.0,150609.0,151579.0,152275.0,152440.0,154484.5
Michigan,254269.0,249996.0,245352.0,244828.0,242057.0,243623.0,242766.0,243268.0,242851.0,243183.0,242828.0,242929.0,244829.16666666666
Minnesota,123685.0,121631.0,121031.0,120980.0,117490.0,118257.0,117842.0,117486.0,117988.0,118860.0,118711.0,118872.0,119402.75
Ohio,253586.0,249652.0,246946.0,244563.0,239505.0,239551.0,240845.0,239780.0,242247.0,242811.0,244509.0,246413.0,244200.66666666666
Wisconsin,109856.0,107041.0,106162.0,106452.0,104591.0,104775.0,104750.0,104329.0,104778.0,104791.0,104385.0,104133.0,105503.58333333333
Arkansas,80386.0,81607.0,83142.0,85534.0,83793.0,83588.0,84650.0,84699.0,86197.0,86205.0,85528.0,85306.0,84219.58333333333
Louisiana,134568.0,131743.0,130524.0,128874.0,127015.0,127843.0,127175.0,125215.0,126560.0,127413.0,129221.0,131069.0,128935
New Mexico,55397.0,53284.0,52933.0,52976.0,51660.0,51087.0,51312.0,51002.0,51663.0,51542.0,51678.0,51223.0,52146.416666666664
Oklahoma,91036.0,88559.0,87636.0,87935.0,84512.0,84222.0,84503.0,84564.0,85542.0,86258.0,86730.0,86450.0,86495.58333333333
Texas,,,,,,,,,,,,, 
Texas,921526.0,903828.0,891919.0,887407.0,875213.0,874389.0,876170.0,874860.0,881894.0,881438.0,883315.0,884951.0,886409.1666666666
"Acoma, Canoncito & Laguna, NM",458.0,462.0,459.0,436.0,420.0,425.0,389.0,424.0,385.0,453.0,405.0,430.0,428.8333333333333
"Eight Northern Pueblos, NM",229.0,238.0,249.0,220.0,227.0,229.0,236.0,223.0,232.0,239.0,242.0,252.0,234.66666666666666
"Five Sandoval Pueblos, NM",232.0,245.0,239.0,234.0,223.0,244.0,244.0,236.0,237.0,218.0,212.0,229.0,232.75
"Isleta Pueblo, NM",987.0,994.0,953.0,1005.0,998.0,993.0,996.0,1072.0,1106.0,1134.0,1137.0,1141.0,1043
"San Felipe Pueblo, NM",270.0,262.0,267.0,261.0,238.0,274.0,242.0,272.0,279.0,294.0,253.0,294.0,267.1666666666667
"Santo Domingo Tribe, NM",171.0,164.0,164.0,162.0,166.0,166.0,164.0,159.0,166.0,178.0,168.0,179.0,167.25
"Zuni Pueblo, NM",779.0,695.0,734.0,709.0,737.0,698.0,722.0,725.0,724.0,682.0,700.0,662.0,713.9166666666666
"Cherokee Nation, OK",7225.0,6944.0,6852.0,6909.0,6626.0,6656.0,6796.0,6868.0,6947.0,7093.0,7325.0,7381.0,6968.5
"Chickasaw Nation, OK",3817.0,3585.0,3518.0,3499.0,3566.0,3617.0,3687.0,3642.0,3728.0,3767.0,3747.0,3731.0,3658.6666666666665
"Choctaw Nation, OK",3904.0,3845.0,3834.0,3804.0,3658.0,3710.0,3855.0,3880.0,3932.0,3960.0,3952.0,4035.0,3864.0833333333335
"Citizen Potawatomi Nation, OK",1328.0,1276.0,1254.0,1260.0,1223.0,1187.0,1240.0,1226.0,1205.0,1219.0,1254.0,1218.0,1240.8333333333333
"Inter-Tribal Council, OK",891.0,877.0,860.0,869.0,854.0,883.0,899.0,871.0,886.0,874.0,876.0,870.0,875.8333333333334
"Muscogee Creek Nation, OK",3047.0,2903.0,2777.0,2875.0,2749.0,2759.0,2753.0,2813.0,2763.0,2820.0,2807.0,2851.0,2826.4166666666665
"Osage Tribal Council, OK",2626.0,2581.0,2509.0,2544.0,2423.0,2478.0,2493.0,2534.0,2589.0,2713.0,2801.0,2805.0,2591.3333333333335
"Otoe-Missouria Tribe, OK",495.0,495.0,489.0,495.0,472.0,495.0,519.0,508.0,487.0,507.0,492.0,524.0,498.1666666666667
"Wichita, Caddo & Delaware (WCD), OK",4031.0,3851.0,3847.0,3926.0,3823.0,3826.0,3849.0,3814.0,3795.0,3934.0,3842.0,3935.0,3872.75
Colorado,93717.0,91786.0,90707.0,89970.0,89644.0,90244.0,90700.0,89845.0,90132.0,90419.0,90708.0,90928.0,90733.33333333333
Iowa,65837.0,64349.0,64523.0,64269.0,62885.0,62826.0,62670.0,62371.0,62679.0,62823.0,63245.0,63298.0,63481.25
Kansas,66028.0,63585.0,63280.0,63664.0,62662.0,62657.0,62213.0,61910.0,62187.0,61827.0,62092.0,62090.0,62849.583333333336
Missouri,140029.0,137541.0,137105.0,138076.0,134767.0,133768.0,134163.0,132427.0,132128.0,132274.0,132537.0,132549.0,134780.33333333334
Montana,19066.0,18639.0,18526.0,18473.0,18273.0,18430.0,18423.0,18259.0,18230.0,18383.0,18547.0,18458.0,18475.583333333332
Nebraska,39849.0,38101.0,37439.0,38176.0,36290.0,36108.0,36236.0,35189.0,36390.0,36777.0,36971.0,35992.0,36959.833333333336
North Dakota,11834.0,11379.0,11366.0,11656.0,11127.0,11341.0,11573.0,11217.0,11366.0,11630.0,11653.0,11626.0,11480.666666666666
South Dakota,17689.0,17444.0,17325.0,17534.0,17320.0,17544.0,17572.0,17483.0,17427.0,17502.0,17677.0,17659.0,17514.666666666668
Utah,61582.0,60153.0,59117.0,59107.0,59111.0,59211.0,58974.0,58353.0,58352.0,57871.0,57924.0,58184.0,58994.916666666664
