State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
"Five Sandoval Pueblos, NM",4.0,6.0,6.0,6.0,7.0,8.0,6.0,5.0,5.0,5.0,3.0,3.0,5.333333333333333
"Isleta Pueblo, NM",35.0,36.0,35.0,50.0,42.0,43.0,42.0,50.0,61.0,62.0,57.0,71.0,48.666666666666664
"San Felipe Pueblo, NM",10.0,9.0,9.0,8.0,12.0,11.0,12.0,17.0,13.0,12.0,12.0,11.0,11.333333333333334
"Santo Domingo Tribe, NM",4.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0,5.0,6.0,3.8333333333333335
"Zuni Pueblo, NM",17.0,17.0,21.0,21.0,21.0,20.0,21.0,19.0,18.0,16.0,16.0,13.0,18.333333333333332
"Cherokee Nation, OK",72.0,56.0,58.0,64.0,67.0,72.0,72.0,68.0,61.0,69.0,80.0,75.0,67.83333333333333
"Chickasaw Nation, OK",47.0,52.0,53.0,52.0,53.0,61.0,68.0,65.0,65.0,63.0,70.0,79.0,60.666666666666664
"Choctaw Nation, OK",42.0,32.0,31.0,48.0,51.0,51.0,45.0,43.0,46.0,53.0,28.0,34.0,42.0
"Citizen Potawatomi Nation, OK",13.0,19.0,21.0,22.0,21.0,19.0,16.0,13.0,17.0,16.0,18.0,24.0,18.25
"Inter-Tribal Council, OK",15.0,15.0,11.0,7.0,8.0,10.0,13.0,10.0,7.0,6.0,5.0,12.0,9.916666666666666
"Muscogee Creek Nation, OK",22.0,21.0,23.0,24.0,23.0,24.0,17.0,21.0,19.0,21.0,19.0,25.0,21.583333333333332
"Osage Tribal Council, OK",72.0,73.0,69.0,72.0,70.0,82.0,91.0,87.0,88.0,99.0,91.0,92.0,82.16666666666667
"Otoe-Missouria Tribe, OK",10.0,7.0,11.0,9.0,8.0,10.0,13.0,15.0,10.0,14.0,13.0,18.0,11.5
"Wichita, Caddo & Delaware (WCD), OK",75.0,69.0,66.0,85.0,74.0,64.0,68.0,68.0,76.0,70.0,68.0,72.0,71.25
Colorado,2313.0,2253.0,2338.0,2270.0,2281.0,2307.0,2356.0,2290.0,2327.0,2378.0,2396.0,2443.0,2329.3333333333335
Iowa,3191.0,3046.0,3182.0,3125.0,3036.0,3050.0,3102.0,3060.0,3059.0,3142.0,3198.0,3256.0,3120.5833333333335
Kansas,2010.0,1905.0,1986.0,1976.0,1839.0,1899.0,1911.0,1849.0,1887.0,1898.0,1901.0,1938.0,1916.5833333333333
Missouri,3068.0,3086.0,3054.0,3107.0,2994.0,2994.0,2987.0,2890.0,2904.0,2934.0,2990.0,3016.0,3002.0
Montana,541.0,526.0,532.0,547.0,530.0,540.0,525.0,483.0,500.0,491.0,482.0,517.0,517.8333333333334
Nebraska,1816.0,1707.0,1681.0,1692.0,1673.0,1692.0,1683.0,1625.0,1671.0,1692.0,1690.0,1645.0,1688.9166666666667
North Dakota,407.0,389.0,405.0,424.0,409.0,427.0,430.0,428.0,437.0,456.0,456.0,480.0,429.0
South Dakota,381.0,356.0,371.0,367.0,365.0,392.0,408.0,399.0,391.0,396.0,405.0,398.0,385.75
Utah,1821.0,1778.0,1720.0,1704.0,1685.0,1688.0,1737.0,1717.0,1745.0,1775.0,1821.0,1866.0,1754.75
Wyoming,191.0,177.0,181.0,183.0,189.0,175.0,175.0,163.0,172.0,188.0,182.0,176.0,179.33333333333334
"Ute Mountain Ute Tribe, CO",11.0,10.0,8.0,7.0,6.0,10.0,12.0,10.0,10.0,9.0,10.0,10.0,9.416666666666666
"Omaha Sioux, NE",2.0,0.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,6.0,1.0,3.25
"Santee Sioux, NE",2.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,3.0,2.0
"Winnebago Tribe, NE",3.0,10.0,12.0,11.0,10.0,8.0,11.0,8.0,5.0,11.0,12.0,15.0,9.666666666666666
