State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
Connecticut,13408.0,12765.0,12960.0,12772.0,12539.0,12958.0,13054.0,12986.0,13093.0,13111.0,12884.0,12904.0,12952.833333333334
Maine,5374.0,5267.0,5260.0,5175.0,5068.0,5168.0,5102.0,5097.0,4978.0,5042.0,5071.0,4946.0,5129
Massachusetts,26538.0,25863.0,25855.0,25861.0,25384.0,25812.0,25975.0,26022.0,25896.0,25895.0,25782.0,25613.0,25874.666666666668
New Hampshire,3706.0,3637.0,3684.0,3613.0,3615.0,3695.0,3684.0,3695.0,3657.0,3679.0,3594.0,3537.0,3649.6666666666665
New York,110153.0,108627.0,107847.0,107031.0,106656.0,107676.0,108234.0,108051.0,108063.0,107904.0,108003.0,107303.0,107962.33333333333
Rhode Island,5362.0,5197.0,5285.0,5269.0,5199.0,5249.0,5225.0,5145.0,5166.0,5209.0,5159.0,5237.0,5225.166666666667
Vermont,2697.0,2678.0,2686.0,2652.0,2631.0,2606.0,2625.0,2555.0,2565.0,2485.0,2459.0,2520.0,2596.5833333333335
"Indian Township, ME",23.0,21.0,22.0,22.0,19.0,15.0,18.0,18.0,21.0,20.0,14.0,17.0,19.166666666666668
"Pleasant Point, ME",18.0,18.0,20.0,20.0,16.0,17.0,18.0,17.0,19.0,21.0,19.0,19.0,18.5
"Seneca Nation, NY",59.0,54.0,54.0,57.0,59.0,52.0,50.0,49.0,51.0,60.0,64.0,60.0,55.75
Delaware,5226.0,5060.0,5077.0,5045.0,4955.0,4970.0,4997.0,5007.0,5084.0,5082.0,5074.0,5059.0,5053
District of Columbia,4260.0,4196.0,4175.0,4176.0,4084.0,4204.0,4200.0,4201.0,4176.0,4227.0,4262.0,4225.0,4198.833333333333
Maryland,34387.0,33765.0,33991.0,34035.0,33697.0,34046.0,34232.0,34227.0,34396.0,34686.0,34689.0,34451.0,34216.833333333336
New Jersey,37459.0,36377.0,36588.0,36269.0,36217.0,36605.0,36727.0,36530.0,36420.0,36701.0,36659.0,36450.0,36583.5
Pennsylvania,62081.0,66031.0,65611.0,65313.0,64589.0,65213.0,65416.0,64795.0,64854.0,65016.0,64886.0,65244.0,64920.75
Puerto Rico,33435.0,30802.0,29952.0,30028.0,29655.0,29793.0,29723.0,29181.0,29110.0,28858.0,28308.0,28436.0,29773.416666666668
Virginia,37304.0,36574.0,36453.0,36411.0,35607.0,36384.0,36797.0,36925.0,36978.0,37048.0,37075.0,36944.0,36708.333333333336
Virgin Islands,979.0,954.0,962.0,974.0,971.0,949.0,963.0,968.0,979.0,977.0,953.0,972.0,966.75
West Virginia,10912.0,10849.0,10845.0,10863.0,10509.0,10514.0,10545.0,10768.0,10811.0,10868.0,10811.0,10883.0,10764.833333333334
Alabama,34965.0,34610.0,34791.0,34949.0,34253.0,34560.0,34545.0,34732.0,34742.0,35032.0,35114.0,35003.0,34774.666666666664
Florida,120753.0,119138.0,118532.0,119594.0,118880.0,120384.0,120114.0,120111.0,119847.0,120366.0,120563.0,120759.0,119920.08333333333
Georgia,67227.0,65089.0,63743.0,66333.0,65547.0,66179.0,65450.0,65527.0,65008.0,65419.0,65511.0,65505.0,65544.83333333333
Kentucky,30988.0,30204.0,30261.0,30395.0,29799.0,30167.0,30135.0,30238.0,30213.0,30192.0,30164.0,29994.0,30229.166666666668
Mississippi,26283.0,26002.0,26002.0,26032.0,25523.0,25569.0,25613.0,25492.0,25527.0,25707.0,25708.0,25795.0,25771.083333333332
North Carolina,62413.0,61090.0,61014.0,60819.0,59232.0,60801.0,61351.0,61160.0,61545.0,61898.0,61898.0,61688.0,61242.416666666664
South Carolina,33196.0,32515.0,32501.0,32495.0,32109.0,32342.0,32299.0,32304.0,32442.0,32211.0,32060.0,31748.0,32351.833333333332
Tennessee,43401.0,42718.0,42497.0,42533.0,41327.0,41601.0,42008.0,42061.0,42315.0,42280.0,42339.0,42331.0,42284.25
"Choctaw Indians, MS",183.0,179.0,177.0,169.0,171.0,179.0,179.0,183.0,190.0,194.0,194.0,192.0,182.5
"Eastern Cherokee, NC",137.0,136.0,139.0,133.0,132.0,140.0,135.0,134.0,129.0,137.0,141.0,134.0,135.58333333333334
Illinois,71674.0,70526.0,70269.0,69599.0,66853.0,67466.0,67442.0,67449.0,67306.0,67219.0,66538.0,66151.0,68207.66666666667
Indiana,39990.0,38947.0,39055.0,39245.0,38533.0,39076.0,39047.0,38900.0,38767.0,38937.0,38973.0,38909.0,39031.583333333336
Michigan,62568.0,61662.0,60941.0,60894.0,60333.0,60917.0,60470.0,60693.0,60450.0,60753.0,60448.0,60214.0,60861.916666666664
Minnesota,27906.0,27378.0,27358.0,27405.0,26727.0,26939.0,26830.0,26592.0,26583.0,26696.0,26520.0,26537.0,26955.916666666668
Ohio,66387.0,65329.0,64835.0,64593.0,63613.0,64445.0,65029.0,65177.0,65870.0,66936.0,68467.0,69772.0,65871.08333333333
Wisconsin,26021.0,25452.0,25648.0,25701.0,25371.0,25631.0,25774.0,25483.0,25411.0,25413.0,25138.0,24930.0,25497.75
Arkansas,22268.0,22450.0,23203.0,23741.0,23444.0,23741.0,23746.0,23882.0,24121.0,24137.0,24154.0,24082.0,23580.75
Louisiana,38369.0,37589.0,37668.0,37374.0,37111.0,37764.0,37478.0,37054.0,37163.0,37481.0,37610.0,38031.0,37557.666666666664
New Mexico,13207.0,12817.0,12851.0,12890.0,12657.0,12680.0,12716.0,12623.0,12677.0,12633.0,12597.0,12345.0,12724.416666666666
Oklahoma,22300.0,21792.0,21681.0,21654.0,21215.0,21474.0,21561.0,21628.0,21733.0,21739.0,21629.0,21615.0,21668.416666666668
Texas,,,,,,,,,,,,, 
Texas,224171.0,219975.0,220180.0,219359.0,215668.0,217211.0,217881.0,217141.0,218790.0,219146.0,219013.0,219657.0,219016
"Acoma, Canoncito & Laguna, NM",100.0,93.0,91.0,85.0,81.0,89.0,81.0,82.0,74.0,88.0,80.0,86.0,85.83333333333333
"Eight Northern Pueblos, NM",52.0,61.0,63.0,51.0,51.0,57.0,56.0,50.0,55.0,54.0,54.0,54.0,54.833333333333336
"Five Sandoval Pueblos, NM",66.0,72.0,74.0,69.0,66.0,70.0,69.0,68.0,67.0,65.0,65.0,69.0,68.33333333333333
"Isleta Pueblo, NM",273.0,280.0,282.0,299.0,290.0,294.0,294.0,324.0,333.0,337.0,343.0,335.0,307
"San Felipe Pueblo, NM",61.0,64.0,60.0,57.0,59.0,59.0,55.0,56.0,61.0,61.0,51.0,58.0,58.5
"Santo Domingo Tribe, NM",34.0,33.0,33.0,30.0,27.0,29.0,24.0,26.0,29.0,37.0,35.0,34.0,30.916666666666668
"Zuni Pueblo, NM",149.0,140.0,151.0,137.0,142.0,130.0,138.0,131.0,127.0,115.0,120.0,116.0,133
"Cherokee Nation, OK",1837.0,1802.0,1806.0,1826.0,1800.0,1828.0,1833.0,1846.0,1825.0,1857.0,1913.0,1938.0,1842.5833333333333
"Chickasaw Nation, OK",978.0,904.0,899.0,892.0,899.0,882.0,897.0,869.0,891.0,904.0,887.0,895.0,899.75
"Choctaw Nation, OK",901.0,885.0,901.0,900.0,870.0,864.0,898.0,906.0,903.0,902.0,890.0,900.0,893.3333333333334
"Citizen Potawatomi Nation, OK",345.0,335.0,337.0,348.0,337.0,331.0,341.0,335.0,335.0,329.0,329.0,320.0,335.1666666666667
"Inter-Tribal Council, OK",208.0,219.0,206.0,205.0,195.0,202.0,216.0,211.0,218.0,211.0,199.0,200.0,207.5
"Muscogee Creek Nation, OK",689.0,681.0,653.0,655.0,624.0,621.0,613.0,625.0,611.0,612.0,604.0,594.0,631.8333333333334
"Osage Tribal Council, OK",799.0,781.0,763.0,781.0,745.0,775.0,796.0,799.0,815.0,862.0,876.0,857.0,804.0833333333334
"Otoe-Missouria Tribe, OK",121.0,125.0,132.0,136.0,126.0,122.0,135.0,130.0,125.0,128.0,120.0,129.0,127.41666666666667
"Wichita, Caddo & Delaware (WCD), OK",919.0,891.0,885.0,889.0,899.0,922.0,910.0,907.0,885.0,900.0,884.0,891.0,898.5
Colorado,22147.0,21719.0,21593.0,21613.0,21692.0,21832.0,21971.0,21625.0,21750.0,21737.0,21694.0,21762.0,21761.25
Iowa,16622.0,16350.0,16592.0,16461.0,16226.0,16242.0,16304.0,15989.0,16117.0,16243.0,16250.0,16208.0,16300.333333333334
Kansas,16492.0,15861.0,16035.0,16241.0,15741.0,15907.0,15736.0,15498.0,15538.0,15575.0,15638.0,15542.0,15817
Missouri,37421.0,36645.0,36753.0,36824.0,36050.0,36283.0,36429.0,36112.0,36058.0,36341.0,36267.0,36258.0,36453.416666666664
Montana,4715.0,4633.0,4668.0,4669.0,4587.0,4592.0,4631.0,4571.0,4553.0,4644.0,4638.0,4581.0,4623.5
Nebraska,9606.0,9269.0,9242.0,9385.0,9084.0,9120.0,9120.0,8918.0,9146.0,9258.0,9195.0,8951.0,9191.166666666666
North Dakota,3066.0,2978.0,2992.0,3035.0,2964.0,3013.0,3015.0,2934.0,2971.0,2999.0,2986.0,2961.0,2992.8333333333335
South Dakota,4264.0,4221.0,4239.0,4211.0,4217.0,4237.0,4212.0,4196.0,4168.0,4240.0,4231.0,4263.0,4224.916666666667
Utah,14327.0,14023.0,13872.0,13964.0,14042.0,13920.0,13904.0,13712.0,13776.0,13603.0,13581.0,13656.0,13865
Wyoming,2528.0,2469.0,2441.0,2422.0,2409.0,2441.0,2422.0,2383.0,2472.0,2458.0,2452.0,2457.0,2446.1666666666665
"Ute Mountain Ute Tribe, CO",48.0,46.0,48.0,47.0,42.0,56.0,59.0,60.0,63.0,62.0,65.0,57.0,54.416666666666664
"Omaha Sioux, NE",59.0,58.0,56.0,63.0,59.0,65.0,67.0,68.0,70.0,65.0,67.0,66.0,63.583333333333336
"Santee Sioux, NE",30.0,28.0,23.0,25.0,26.0,27.0,27.0,24.0,22.0,22.0,22.0,21.0,24.75
"Winnebago Tribe, NE",69.0,68.0,71.0,67.0,59.0,64.0,66.0,64.0,62.0,61.0,57.0,61.0,64.08333333333333
"Standing Rock Sioux Tribe, ND",166.0,164.0,168.0,172.0,167.0,170.0,166.0,159.0,165.0,162.0,162.0,160.0,165.08333333333334
"Three Affiliated Tribes, ND",81.0,77.0,67.0,74.0,68.0,67.0,64.0,68.0,69.0,71.0,66.0,69.0,70.08333333333333
"Cheyenne River Sioux, SD",147.0,147.0,151.0,145.0,145.0,152.0,156.0,149.0,151.0,146.0,154.0,149.0,149.33333333333334
"Rosebud Sioux, SD",275.0,282.0,281.0,273.0,264.0,262.0,271.0,274.0,270.0,281.0,271.0,287.0,274.25
"Northern Arapahoe, WY",111.0,112.0,109.0,110.0,104.0,104.0,100.0,92.0,99.0,98.0,98.0,103.0,103.33333333333333
"Shoshone Tribe, WY",53.0,51.0,46.0,43.0,48.0,54.0,69.0,66.0,56.0,56.0,45.0,58.0,53.75
Mountain Plains,132227.0,129201.0,129447.0,129844.0,127994.0,128608.0,128789.0,126962.0,127576.0,128122.0,127939.0,127670.0,128698.25
Alaska,4620.0,4336.0,4387.0,4470.0,4476.0,4532.0,4573.0,4536.0,4555.0,4594.0,4606.0,4490.0,4514.583333333333
American Samoa,1035.0,1016.0,1007.0,999.0,977.0,987.0,990.0,999.0,997.0,1012.0,1030.0,1015.0,1005.3333333333334
Arizona,40668.0,39628.0,39386.0,39036.0,38320.0,38798.0,38844.0,38778.0,39202.0,39360.0,39313.0,39429.0,39230.166666666664
California,268346.0,260576.0,261108.0,263073.0,257590.0,260103.0,260248.0,256322.0,257446.0,258064.0,256302.0,253851.0,259419.08333333334
Guam,1894.0,1802.0,1746.0,1767.0,1772.0,1792.0,1812.0,1784.0,1796.0,1774.0,1777.0,1777.0,1791.0833333333333
Hawaii,7892.0,7586.0,7534.0,7578.0,7413.0,7471.0,7422.0,7231.0,7208.0,7247.0,7126.0,7118.0,7402.166666666667
Idaho,10352.0,10311.0,10377.0,9759.0,9595.0,9692.0,9737.0,9602.0,9573.0,9566.0,9471.0,9519.0,9796.166666666666
Nevada,17696.0,17563.0,17433.0,17367.0,17167.0,17307.0,17237.0,17387.0,17369.0,17507.0,17576.0,17365.0,17414.5
Oregon,22327.0,21683.0,21758.0,21695.0,21416.0,21621.0,21753.0,21521.0,21477.0,21520.0,21332.0,21083.0,21598.833333333332
Washington,36651.0,36219.0,36615.0,36679.0,35953.0,36258.0,36358.0,35836.0,36009.0,36230.0,35864.0,35885.0,36213.083333333336
Northern Marianas,645.0,611.0,605.0,597.0,578.0,597.0,588.0,576.0,584.0,566.0,530.0,539.0,584.6666666666666
"Inter-Tribal Council, AZ",2294.0,2169.0,2230.0,2372.0,2292.0,2317.0,2295.0,2223.0,2202.0,2246.0,2216.0,2170.0,2252.1666666666665
"Navajo Nation, AZ",2168.0,2060.0,2012.0,2064.0,1977.0,2043.0,1971.0,1935.0,1961.0,1992.0,1973.0,1979.0,2011.25
"Inter-Tribal Council, NV",352.0,349.0,366.0,365.0,345.0,346.0,342.0,342.0,355.0,348.0,358.0,346.0,351.1666666666667
