State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Cumulative Average
Connecticut,48.0512,46.1433,45.0127,49.5558,43.915,48.3664,50.611,48.1395,49.406,50.3845,48.5843,48.169,48.038409864429084
Maine,47.1698,43.6573,46.5427,46.542,43.1512,44.3349,45.2552,43.3867,42.6444,42.8977,42.386,58.9094,45.5647520568754
Massachusetts,42.1583,38.6209,37.3697,37.9853,33.6786,37.1282,39.2579,37.2403,39.0214,38.6745,39.2487,38.4002,38.25133944797527
New Hampshire,17.8349,51.4183,31.375,34.8413,30.3402,34.5135,33.5532,28.233,34.1719,35.4908,37.0832,27.9083,33.049673002595576
New York,56.0285,53.8226,53.3242,56.5657,52.2037,54.0376,55.3465,51.4478,53.5635,53.9529,53.3287,54.0238,53.97496672022642
Rhode Island,42.9962,44.2559,44.6949,41.9754,45.33,40.4853,44.6728,46.4919,42.7365,25.9097,66.3751,44.6952,44.22998186839915
Vermont,50.933,55.1537,54.1423,52.5387,52.4684,51.9763,52.8221,53.267,53.6822,54.7602,51.7736,53.2784,53.06462985436893
"Indian Township, ME",57.0426,56.0729,52.5,64.0612,66.6087,65.6071,56.6023,66.6265,61.1707,62.7237,66.6081,70.6883,61.83843212237094
"Pleasant Point, ME",60.5647,65.8434,65.1139,66.506,65.7013,63.2963,68.3929,69.1519,66.9639,82.5526,71.9444,60.1765,67.13157894736842
"Seneca Nation, NY",42.3988,35.7371,37.625,38.7814,17.1923,57.5238,40.6258,36.0066,32.8947,39.0112,37.8737,35.4541,37.50433108758421
Delaware,60.8704,37.6738,22.1865,38.319,39.3211,41.1139,38.6098,40.8618,43.0123,39.6645,40.2924,43.8699,40.54607303432394
District of Columbia,44.6762,36.8069,45.7857,45.5244,33.62,49.8021,36.8389,45.5888,48.4886,54.0695,29.3907,57.5647,44.00745793438165
Maryland,44.1693,58.486,31.0206,59.044,58.0088,25.128,45.6281,42.5784,31.1661,43.0215,60.2984,43.0936,45.13958235613958
New Jersey,55.7904,53.2539,53.157,56.2635,50.4465,53.9802,53.8666,51.9038,52.7076,55.561,51.749,53.0387,53.483919621561746
Pennsylvania,29.9256,38.1228,57.3449,46.1645,38.0511,45.2579,64.3179,41.8532,24.4539,47.2265,63.8312,55.1512,45.93168127549968
Puerto Rico,81.6431,86.4843,84.2323,87.75,88.3862,82.6925,85.3315,88.2172,86.2983,87.1243,89.255,89.439,86.37729631856894
Virginia,0.1167,34.7203,32.5567,14.0718,31.6494,52.5558,35.7158,52.9264,13.0046,53.2025,16.1498,32.7528,30.67837703959226
Virgin Islands,75.0475,80.5321,78.0573,78.3861,79.9012,77.1698,90.2316,70.1342,77.5717,79.888,80.0566,80.9535,79.00070439964209
West Virginia,59.0432,38.8848,40.8736,60.3391,14.3619,36.6865,43.66,36.4796,42.0164,16.9633,38.6447,40.9312,39.21651715682846
Alabama,63.9396,18.0808,69.0357,32.4454,61.1664,47.1212,49.5627,27.1124,48.2381,50.2841,66.5842,46.2421,48.33833083269162
Florida,42.3596,42.5902,48.5478,37.1136,39.6594,40.7845,42.5312,40.4507,42.2834,42.8631,43.443,43.4433,42.17473392665522
