State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Cumulative Average
Georgia,41.9065,39.307,38.3745,42.1273,35.9704,36.3842,42.8595,39.5945,41.0306,42.2444,38.9947,41.4416,40.02959181003075
Kentucky,40.9232,40.3959,40.0024,62.7052,39.1331,39.8963,20.6586,39.9058,41.5839,42.3181,41.882,62.6589,42.722191418838904
Mississippi,56.4457,48.9043,53.9758,63.7353,45.5055,57.0612,60.9778,52.8954,52.2265,61.7978,53.2249,33.4664,53.35015146747324
North Carolina,50.1762,38.0271,46.2755,37.2009,31.065,44.3389,45.7706,41.2305,44.3287,45.278,43.6526,46.1614,42.846909200527165
South Carolina,45.3148,45.165,46.1038,46.8213,43.7364,44.7849,46.1566,44.9393,47.629,45.7397,46.8027,48.1901,45.94125139390095
Tennessee,41.921,41.3354,39.8615,15.3298,38.6374,64.0298,14.9917,40.4784,40.5697,42.0779,63.6207,16.0642,38.2304582741429
"Choctaw Indians, MS",46.0601,37.6875,37.7238,45.8051,34.0872,43.5387,39.1597,42.553,43.8069,43.4379,39.0945,45.0363,41.64099943214083
"Eastern Cherokee, NC",58.5401,59.7077,26.2043,28.9593,7.696,48.7853,38.0159,27.3484,43.3305,43.5106,34.4356,37.9969,38.18471337579618
Illinois,54.3573,45.3323,53.9621,46.5555,40.9512,54.8678,59.2017,53.278,51.4516,38.8433,39.4006,41.9454,48.44443337494493
Indiana,41.0259,37.8728,37.499,40.1977,34.8597,35.9601,40.2441,37.3642,38.5734,40.2128,39.9059,37.7405,38.46782794821919
Michigan,37.9343,38.6747,39.7805,38.9991,38.2024,38.0335,37.4992,39.0504,37.1785,39.9593,38.5788,39.5862,38.62199356694293
Minnesota,15.9266,37.5015,46.8746,48.7306,34.6942,48.9958,47.8063,38.8371,45.969,51.0344,41.7215,71.8537,44.073938135149035
Ohio,36.2374,34.7319,36.3875,16.5021,53.4333,33.3067,37.4598,34.8455,16.7631,54.5386,33.3739,29.8449,34.757265541180615
Wisconsin,46.3975,44.8089,45.0485,47.2236,41.5038,44.3688,45.9042,43.7328,45.1513,45.6475,44.7248,42.1345,44.733195475983045
Arkansas,39.2522,38.1043,44.9377,47.6584,41.2016,42.8747,44.001,45.5533,45.9932,45.8701,45.2471,44.4331,43.809840347900085
Louisiana,48.7302,47.068,47.9229,49.3694,44.4847,47.636,48.3504,46.6892,49.1781,48.3706,50.132,48.4335,48.03744845594033
New Mexico,16.9258,35.171,35.6623,37.3425,32.8607,34.1556,36.8254,35.536,55.8073,36.9128,36.6455,38.7123,35.93183935617181
Oklahoma,37.5453,41.418,35.009,39.7454,38.1218,27.571,42.1402,42.2803,35.6424,41.7463,39.3978,37.9468,38.2259672218331
Texas,,,,,,,,,,,,, 
Texas,36.0599,25.2103,34.7059,24.5952,27.8948,24.0361,25.7757,46.1854,16.7631,33.4075,30.6442,21.1837,28.886394168983287
"Acoma, Canoncito & Laguna, NM",59.8406,34.632,35.0022,67.8968,44.3571,32.9412,47.8946,38.3821,48.5273,55.4305,39.9951,58.0581,46.94267392149242
"Eight Northern Pueblos, NM",61.7336,60.4118,60.1285,58.5591,54.8546,55.1485,55.8729,62.1839,58.3836,61.8828,59.8678,57.8532,58.91548295454545
"Five Sandoval Pueblos, NM",58.8405,57.6082,59.5397,59.7265,54.852,63.2336,61.9795,41.0042,64.481,55.3853,65.434,68.3406,59.187253848907986
"Isleta Pueblo, NM",47.0284,47.5594,48.3757,47.3851,44.2705,45.7039,48.6908,47.0569,49.5597,49.5423,48.2322,46.9378,47.56407798018536
"San Felipe Pueblo, NM",51.5444,74.9733,36.7528,79.1762,82.5252,40.9307,51.5826,48.4412,57.3835,62.1497,60.9289,55.051,58.15190268247037
"Santo Domingo Tribe, NM",84.9474,87.0122,71.128,86.1235,75.0602,90.4639,86.7195,105.6541,77.2952,110.6404,91.131,181.6425,96.29297458893872
"Zuni Pueblo, NM",52.923,55.4676,54.6294,52.5726,50.6594,52.7149,56.6939,101.0138,52.3508,51.824,52.4086,52.432,57.206723473794796
"Cherokee Nation, OK",0.0656,60.5721,13.9613,46.385,31.1674,40.6825,59.5637,22.4201,37.1992,51.2473,48.0154,72.3543,40.431680658199994
"Chickasaw Nation, OK",36.6977,56.7554,34.9389,34.5164,10.2846,33.0835,35.1088,12.9876,55.1709,36.4083,35.6568,57.0046,36.65800382653061
"Choctaw Nation, OK",39.5897,38.4255,37.0133,40.062,32.9131,34.6768,39.9899,38.157,38.0257,38.429,38.4939,35.7098,37.64970130906425
"Citizen Potawatomi Nation, OK",42.2447,40.9718,38.3692,42.3349,32.8185,34.4886,39.6726,35.9225,36.0207,38.5455,37.4131,33.1765,37.73438549361988
"Inter-Tribal Council, OK",56.2918,56.5086,56.757,54.9816,57.596,47.1155,56.5161,55.0184,56.3409,60.1465,57.7249,57.346,56.0196955280685
"Muscogee Creek Nation, OK",44.9498,42.6858,41.4051,44.7819,36.7716,39.8561,44.4777,42.5151,41.228,43.5762,44.1952,41.2252,42.34118583601144
"Osage Tribal Council, OK",27.81,30.802,58.1877,44.5994,47.1424,49.1195,35.5523,45.4392,73.8038,35.8087,45.9232,60.5797,46.259518909184465
"Otoe-Missouria Tribe, OK",41.2727,41.497,43.5419,43.9677,60.7881,12.0727,40.8497,42.7402,40.614,37.5799,43.252,41.9924,40.77015724322516
"Wichita, Caddo & Delaware (WCD), OK",39.4173,36.8582,33.339,39.2649,33.3097,34.018,38.2663,36.0915,36.7681,39.0191,37.4164,36.0191,36.67079809782024
Colorado,41.6437,59.1339,59.3268,59.3849,1.9155,38.6531,41.7791,26.7384,41.0799,56.479,42.0202,27.2164,41.33163758265981
Iowa,37.9786,34.5325,34.4701,37.9545,31.4629,32.2675,36.939,32.494,34.7876,38.1128,34.7405,56.4901,36.862686488792626
Kansas,58.6879,38.2399,32.7389,38.6542,32.5016,33.5186,33.1835,25.1424,17.7978,54.617,36.6925,33.8136,36.40746889067151
Missouri,18.233,41.1181,34.7173,39.1668,34.6124,36.7325,40.2717,37.7435,38.4833,38.9353,39.247,60.473,38.2153460816489
Montana,40.1409,40.4297,41.3206,40.9002,37.5486,39.4831,38.5534,40.4006,23.2533,57.9938,43.4567,53.0989,41.39604072041027
Nebraska,46.7903,44.6835,56.8195,35.4243,41.4365,43.4496,45.4688,41.4191,44.3793,46.4887,41.15,29.4627,43.134271889754196
North Dakota,66.4915,21.3006,50.3095,46.8991,44.8001,46.8826,47.9002,41.7505,47.8054,47.9846,43.4866,46.8187,46.11408309621973
South Dakota,50.2862,46.851,47.4943,49.9664,46.0054,45.5522,48.2924,44.8889,67.1363,29.7372,46.8469,46.8843,47.49155945493301
Utah,37.6694,32.6075,39.9485,38.7723,33.8573,38.6175,35.3305,34.6457,39.833,36.7803,34.4305,39.9831,36.86941954038413
Wyoming,31.9304,26.9535,35.6981,28.9724,27.2568,15.4426,30.4313,46.7767,30.6311,32.4636,29.6503,19.0358,29.573631438699817
"Ute Mountain Ute Tribe, CO",53.3403,51.2254,53.6038,52.3094,49.1394,50.6726,50.2766,53.235,54.0766,55.3689,54.1181,66.2818,53.64950794852385
"Omaha Sioux, NE",73.3064,80.2311,80.5577,79.6415,77.2424,85.8362,81.6996,81.5387,80.9116,82.5662,81.5331,80.2747,80.35828877005348
"Santee Sioux, NE",80.1712,70.1441,68.7739,68.069,114.5294,67.2721,67.4219,71.6783,76.5965,71.7018,67.7479,70.028,74.4284702549575
"Winnebago Tribe, NE",71.7571,69.4915,69.628,65.7126,66.5154,60.5469,60.1629,64.6877,64.4908,66.821,64.7029,65.4912,65.74234118026443
"Standing Rock Sioux Tribe, ND",55.4954,52.7237,53.2497,58.4409,35.2331,54.6349,56.2847,53.8803,53.9885,53.4155,55.2415,58.9792,53.44332987432261
"Three Affiliated Tribes, ND",78.296,76.9951,73.2757,81.7136,78.9785,70.514,75.194,74.5799,70.7072,74.207,68.6504,69.9087,74.27147360126084
"Cheyenne River Sioux, SD",63.8964,61.482,62.9222,64.6423,59.3292,60.5229,50.3883,56.2099,48.2003,55.0525,53.4555,60.7986,58.18728426678543
"Rosebud Sioux, SD",57.3081,42.9297,53.2721,54.4307,56.1112,59.566,45.7166,53.9364,58.8242,54.2146,67.2682,65.5687,55.761544284632855
"Northern Arapahoe, WY",47.3793,44.1878,43.5645,53.2053,47.7174,49.0941,51.1232,49.3932,44.8341,52.0,51.2571,46.8645,48.373551737914504
"Shoshone Tribe, WY",61.4904,67.6026,66.7383,56.6408,58.8421,53.1744,52.1881,68.9646,80.0769,75.4675,107.0144,92.5389,69.5182555780933
Mountain Plains,37.8103,41.9746,42.2266,42.7326,29.3226,37.2109,39.3685,34.2563,37.177,44.8309,38.9795,44.2771,39.191242702088346
Alaska,41.5932,65.7573,43.4633,56.8671,51.0271,52.6292,53.9157,51.4061,59.5094,52.969,54.1303,47.0991,52.514865528570944
American Samoa,72.6203,73.8327,71.1017,84.5668,61.2295,73.4805,74.2835,73.0016,72.8135,73.3983,74.6935,70.2702,72.94435168978053
Arizona,46.4693,23.4837,47.5929,43.8453,43.1862,65.9292,47.6218,44.7589,27.0471,46.6079,46.0847,68.189,45.91846355313178
California,48.7171,48.4508,47.2872,50.7403,46.6605,46.8852,48.4602,47.429,46.3695,48.1773,47.5229,46.7951,47.804869189278065
Guam,75.8226,71.7106,76.0569,82.4243,82.8312,81.8179,79.6594,76.2087,77.1825,80.7181,80.2049,78.6814,78.61598100001142
Hawaii,53.0921,50.5007,37.0575,66.8875,33.3614,51.7451,49.785,50.3458,53.2863,51.4217,66.9511,52.0958,51.38262272267207
Idaho,36.2497,35.8648,35.548,22.0832,47.8375,34.286,34.8874,34.7093,21.3758,35.3321,49.6437,35.6768,35.280932856317
Nevada,38.3876,36.7872,36.3896,37.7617,34.5755,35.9886,38.4657,36.3785,36.676,38.2481,38.3731,37.1001,37.10172255098389
Oregon,39.451,39.5444,52.2897,40.907,37.8823,27.2786,50.7001,26.9631,39.7347,39.4269,51.7721,40.2149,40.51887942463998
Washington,45.8789,42.7517,42.7132,44.6639,40.777,41.2758,43.6073,42.5456,42.973,44.2836,43.5328,44.0349,43.25810691442125
Northern Marianas,74.1687,69.5224,70.7164,75.9273,75.5645,73.5989,75.5991,73.375,74.5489,71.4916,71.0018,72.9893,73.2195652173913
"Inter-Tribal Council, AZ",37.1657,39.7481,20.1553,56.7784,34.4911,34.294,20.459,57.2787,39.8034,40.2177,22.7439,58.2312,38.53271569195136
"Navajo Nation, AZ",-0.5592,51.8659,107.2261,49.191,47.9417,46.5016,50.7863,47.8452,34.4202,48.4185,59.9569,22.7801,46.71166939773394
"Inter-Tribal Council, NV",34.6488,35.1185,33.34,49.7248,12.9018,47.8503,49.9656,16.4205,34.4588,48.8042,1.6163,33.1966,33.234135033323675
