State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
Connecticut,8947.0,8618.0,8712.0,8558.0,8333.0,8645.0,8738.0,8751.0,8777.0,8783.0,8587.0,8591.0,8670.0
Maine,3821.0,3761.0,3721.0,3719.0,3625.0,3700.0,3669.0,3661.0,3570.0,3616.0,3644.0,3556.0,3671.9166666666665
Massachusetts,17148.0,17172.0,17114.0,17253.0,17015.0,17292.0,17441.0,17452.0,17385.0,17346.0,17324.0,17093.0,17252.916666666668
New Hampshire,2728.0,2657.0,2693.0,2611.0,2649.0,2682.0,2707.0,2683.0,2657.0,2636.0,2577.0,2461.0,2645.0833333333335
New York,62828.0,62836.0,62398.0,62195.0,61833.0,62283.0,62905.0,62989.0,62706.0,62378.0,62085.0,61627.0,62421.916666666664
Rhode Island,4257.0,4113.0,4119.0,4106.0,4048.0,4094.0,4115.0,4048.0,4030.0,4058.0,4023.0,4078.0,4090.75
Vermont,1608.0,1578.0,1575.0,1541.0,1514.0,1524.0,1532.0,1498.0,1472.0,1422.0,1394.0,1425.0,1506.9166666666667
"Indian Township, ME",17.0,16.0,18.0,19.0,18.0,15.0,15.0,15.0,17.0,16.0,13.0,15.0,16.166666666666668
"Pleasant Point, ME",13.0,12.0,15.0,16.0,12.0,11.0,10.0,11.0,13.0,15.0,15.0,17.0,13.333333333333334
"Seneca Nation, NY",49.0,44.0,45.0,45.0,50.0,43.0,41.0,37.0,39.0,44.0,45.0,40.0,43.5
Delaware,3464.0,3633.0,3843.0,3931.0,3855.0,3877.0,3874.0,3860.0,3914.0,3887.0,3890.0,3885.0,3826.0833333333335
District of Columbia,2726.0,2607.0,2583.0,2547.0,2478.0,2560.0,2556.0,2534.0,2473.0,2467.0,2485.0,2457.0,2539.4166666666665
Maryland,21769.0,21515.0,21669.0,21638.0,21466.0,21561.0,21660.0,21734.0,21785.0,21946.0,21870.0,21543.0,21679.666666666668
New Jersey,22532.0,21767.0,21812.0,21724.0,21660.0,21861.0,21860.0,21804.0,21639.0,21615.0,21361.0,21153.0,21732.333333333332
Pennsylvania,49864.0,53976.0,53691.0,53402.0,52853.0,53228.0,53463.0,52921.0,52938.0,52905.0,52726.0,52960.0,52910.583333333336
Puerto Rico,25079.0,23238.0,22323.0,22529.0,22158.0,22191.0,22096.0,21618.0,21635.0,21211.0,20725.0,20433.0,22103.0
Virginia,28806.0,28238.0,27966.0,28201.0,27553.0,28127.0,28394.0,28496.0,28518.0,28540.0,28690.0,28557.0,28340.5
Virgin Islands,330.0,344.0,340.0,336.0,329.0,322.0,332.0,340.0,350.0,358.0,354.0,349.0,340.3333333333333
West Virginia,8883.0,8846.0,8861.0,8933.0,8704.0,8759.0,8808.0,8887.0,8913.0,8986.0,8905.0,8913.0,8866.5
Alabama,29938.0,29869.0,30122.0,30430.0,29972.0,30241.0,30319.0,30486.0,30558.0,30778.0,30855.0,30679.0,30353.916666666668
Florida,85547.0,84477.0,83718.0,84115.0,83462.0,84388.0,84195.0,84207.0,83679.0,83588.0,83217.0,82536.0,83927.41666666667
