State Agency or Indian Tribal Organization,"Cumulative Cost:
 October-September"
Connecticut,14276042.0
Maine,5434603.0
Massachusetts,25419482.0
New Hampshire,4223646.0
New York,127233664.0
Rhode Island,5901350.0
Vermont,4281200.0
"Indian Township, ME",43676.0
"Pleasant Point, ME",28755.0
"Seneca Nation, NY",60264.0
Delaware,4895837.0
District of Columbia,6134141.0
Maryland,30839031.0
New Jersey,35987911.0
Pennsylvania,55735977.0
Puerto Rico,36650855.0
Virginia,35359709.0
Virgin Islands,1833917.0
West Virginia,11111881.0
Alabama,30238609.0
Florida,101255382.0
Georgia,68618212.0
Kentucky,29186300.0
Mississippi,19571486.0
North Carolina,55916085.0
South Carolina,25724206.0
Tennessee,38801808.0
"Choctaw Indians, MS",466528.0
"Eastern Cherokee, NC",388749.0
Illinois,54160297.0
Indiana,31985082.0
Michigan,58399312.0
Minnesota,31286597.0
Ohio,53141711.0
Wisconsin,28398647.0
Arkansas,18790624.0
Louisiana,30231281.0
New Mexico,13689320.0
Oklahoma,20997740.0
Texas,
Texas,185368052.0
"Acoma, Canoncito & Laguna, NM",400234.0
"Eight Northern Pueblos, NM",207935.0
"Five Sandoval Pueblos, NM",261756.0
"Isleta Pueblo, NM",446983.0
"San Felipe Pueblo, NM",223257.0
"Santo Domingo Tribe, NM",282182.0
"Zuni Pueblo, NM",432730.0
"Cherokee Nation, OK",2559368.0
"Chickasaw Nation, OK",2522089.0
"Choctaw Nation, OK",1358252.0
"Citizen Potawatomi Nation, OK",3997586.0
"Inter-Tribal Council, OK",363259.0
"Muscogee Creek Nation, OK",897294.0
"Osage Tribal Council, OK",1228745.0
"Otoe-Missouria Tribe, OK",554633.0
"Wichita, Caddo & Delaware (WCD), OK",2310134.0
Colorado,22870570.0
Iowa,15105671.0
Kansas,15759423.0
Missouri,30156604.0
Montana,5633174.0
Nebraska,10212668.0
North Dakota,3648219.0
South Dakota,7480311.0
Utah,16051433.0
Wyoming,3819253.0
"Ute Mountain Ute Tribe, CO",273772.0
"Omaha Sioux, NE",147700.0
"Santee Sioux, NE",116213.0
"Winnebago Tribe, NE",220832.0
"Standing Rock Sioux Tribe, ND",828874.0
"Three Affiliated Tribes, ND",310105.0
"Cheyenne River Sioux, SD",382043.0
"Rosebud Sioux, SD",947350.0
"Northern Arapahoe, WY",374693.0
"Shoshone Tribe, WY",174627.0
Mountain Plains,134513535.0
Alaska,7624352.0
American Samoa,1635140.0
Arizona,38445549.0
California,298594462.0
Guam,2755121.0
Hawaii,11057834.0
Idaho,9138440.0
Nevada,15623199.0
Oregon,24501726.0
Washington,49675337.0
Northern Marianas,1145013.0
"Inter-Tribal Council, AZ",3313422.0
"Navajo Nation, AZ",3311765.0
"Inter-Tribal Council, NV",615932.0
