State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Cumulative Cost
Texas,33230107.0,22785801.0,30954857.0,21825919.0,24413861.0,21016931.0,22583859.0,40405721.0,14783274.0,29446654.0,27068447.0,18746544.0,307261975
"Acoma, Canoncito & Laguna, NM",27407.0,16000.0,16066.0,29603.0,18630.0,14000.0,18631.0,16274.0,18683.0,25110.0,16198.0,24965.0,241567
"Eight Northern Pueblos, NM",14137.0,14378.0,14972.0,12883.0,12452.0,12629.0,13186.0,13867.0,13545.0,14790.0,14488.0,14579.0,165906
"Five Sandoval Pueblos, NM",13651.0,14114.0,14230.0,13976.0,12232.0,15429.0,15123.0,9677.0,15282.0,12074.0,13872.0,15650.0,165310
"Isleta Pueblo, NM",46417.0,47274.0,46102.0,47622.0,44182.0,45384.0,48496.0,50445.0,54813.0,56181.0,54840.0,53556.0,595312
"San Felipe Pueblo, NM",13917.0,19643.0,9813.0,20665.0,19641.0,11215.0,12483.0,13176.0,16010.0,18272.0,15415.0,16185.0,186435
"Santo Domingo Tribe, NM",14526.0,14270.0,11665.0,13952.0,12460.0,15017.0,14222.0,16799.0,12831.0,19694.0,15310.0,32514.0,193260
"Zuni Pueblo, NM",41227.0,38550.0,40098.0,37274.0,37336.0,36795.0,40933.0,73235.0,37902.0,35344.0,36686.0,34710.0,490090
"Cherokee Nation, OK",474.0,420613.0,95663.0,320474.0,206515.0,270783.0,404795.0,153981.0,258423.0,363497.0,351713.0,534047.0,3380978
"Chickasaw Nation, OK",140075.0,203468.0,122915.0,120773.0,36675.0,119663.0,129446.0,47301.0,205677.0,137150.0,133606.0,212684.0,1609433
"Choctaw Nation, OK",154558.0,147746.0,141909.0,152396.0,120396.0,128651.0,154161.0,148049.0,149517.0,152179.0,152128.0,144089.0,1745779
"Citizen Potawatomi Nation, OK",56101.0,52280.0,48115.0,53342.0,40137.0,40938.0,49194.0,44041.0,43405.0,46987.0,46916.0,40409.0,561865
"Inter-Tribal Council, OK",50156.0,49558.0,48811.0,47779.0,49187.0,41603.0,50808.0,47921.0,49918.0,52568.0,50567.0,49891.0,588767
"Muscogee Creek Nation, OK",136962.0,123917.0,114982.0,128748.0,101085.0,109963.0,122447.0,119595.0,113913.0,122885.0,124056.0,117533.0,1436086
"Osage Tribal Council, OK",73029.0,79500.0,145993.0,113461.0,114226.0,121718.0,88632.0,115143.0,191078.0,97149.0,128631.0,169926.0,1438486
"Otoe-Missouria Tribe, OK",20430.0,20541.0,21292.0,21764.0,28692.0,5976.0,21201.0,21712.0,19779.0,19053.0,21280.0,22004.0,243724
"Wichita, Caddo & Delaware (WCD), OK",158891.0,141941.0,128255.0,154154.0,127343.0,130153.0,147287.0,137653.0,139535.0,153501.0,143754.0,141735.0,1704202
Colorado,3902719.0,5427661.0,5381358.0,5342859.0,171709.0,3488212.0,3789366.0,2402309.0,3702618.0,5106776.0,3811568.0,2474732.0,45001887
Iowa,2500400.0,2222130.0,2224117.0,2439296.0,1978545.0,2027239.0,2314969.0,2026685.0,2180455.0,2394361.0,2197163.0,3575713.0,28081073
Kansas,3875045.0,2431486.0,2071720.0,2460882.0,2036616.0,2100177.0,2064442.0,1556568.0,1106790.0,3376807.0,2278310.0,2099488.0,27458331
Missouri,2553146.0,5655423.0,4759913.0,5407994.0,4664606.0,4913634.0,5402976.0,4998263.0,5084728.0,5150128.0,5201682.0,8015632.0,61808125
Montana,765326.0,753570.0,765506.0,755550.0,686125.0,727673.0,710270.0,737674.0,423907.0,1066100.0,805991.0,980100.0,9177792
Nebraska,1864547.0,1702487.0,2127264.0,1352359.0,1503731.0,1568879.0,1647609.0,1457496.0,1614963.0,1709714.0,1521355.0,1060422.0,19130826
North Dakota,786860.0,242380.0,571818.0,546656.0,498491.0,531696.0,554349.0,468315.0,543356.0,558061.0,506749.0,544314.0,6353045
South Dakota,889512.0,817268.0,822838.0,876111.0,796814.0,799168.0,848594.0,784793.0,1169985.0,520461.0,828112.0,827930.0,9981586
Utah,2319754.0,1961438.0,2361635.0,2291712.0,2001341.0,2286583.0,2083581.0,2021681.0,2324336.0,2128510.0,1994350.0,2326379.0,26101300
Wyoming,346892.0,287324.0,376472.0,305630.0,284316.0,160402.0,311647.0,473146.0,315194.0,332849.0,304835.0,197021.0,3695728
"Ute Mountain Ute Tribe, CO",10188.0,10911.0,11364.0,11665.0,10221.0,11452.0,11815.0,11552.0,12708.0,12458.0,12826.0,14582.0,141742
"Omaha Sioux, NE",21772.0,21181.0,20945.0,21105.0,17843.0,19914.0,21487.0,22097.0,23788.0,22458.0,20954.0,21915.0,255459
"Santee Sioux, NE",8899.0,8277.0,7909.0,7896.0,13629.0,9149.0,8630.0,8243.0,8732.0,8174.0,8062.0,7493.0,105093
"Winnebago Tribe, NE",17724.0,16400.0,17407.0,17151.0,15099.0,15500.0,15883.0,17401.0,17606.0,17173.0,17858.0,18665.0,203867
"Standing Rock Sioux Tribe, ND",42676.0,40070.0,40097.0,43480.0,25544.0,40102.0,40919.0,37824.0,37576.0,36643.0,38890.0,39693.0,463514
"Three Affiliated Tribes, ND",17460.0,15861.0,13556.0,16261.0,14690.0,15090.0,15114.0,16333.0,15697.0,16845.0,15515.0,16079.0,188501
"Cheyenne River Sioux, SD",51181.0,47710.0,48513.0,49516.0,43073.0,44908.0,36985.0,40696.0,34897.0,39858.0,40252.0,44991.0,522580
"Rosebud Sioux, SD",72724.0,53705.0,65791.0,65970.0,66099.0,69990.0,54037.0,63645.0,68942.0,65925.0,82269.0,81174.0,810271
"Northern Arapahoe, WY",20610.0,18824.0,17905.0,22027.0,19421.0,19834.0,21165.0,20350.0,18651.0,21580.0,21733.0,20058.0,242158
"Shoshone Tribe, WY",9654.0,10546.0,9944.0,8043.0,8944.0,9146.0,10542.0,13655.0,13533.0,12754.0,14875.0,15454.0,137090
Mountain Plains,20077089.0,21744652.0,21716072.0,22042163.0,14856857.0,18858748.0,19964380.0,17178726.0,18718462.0,22597635.0,19723349.0,22381835.0,239859968
Alaska,825210.0,1269444.0,844145.0,1129551.0,1008754.0,1045952.0,1070497.0,1006017.0,1162636.0,1044178.0,1073080.0,923707.0,12403171
American Samoa,460558.0,463891.0,447514.0,527866.0,379868.0,456902.0,456695.0,446624.0,442852.0,446922.0,457199.0,430686.0,5417577
Arizona,7211240.0,3496864.0,6943755.0,6353012.0,6120083.0,9409940.0,6840344.0,6503020.0,4030959.0,7085569.0,7112903.0,10557977.0,81665666
California,64501381.0,61841719.0,60075069.0,65465337.0,58380679.0,59224791.0,61150154.0,58768760.0,57884945.0,60693134.0,59613930.0,58081027.0,725680926
Guam,569200.0,511727.0,531790.0,584306.0,589510.0,593671.0,592347.0,552437.0,566365.0,604740.0,599692.0,589324.0,6885109
Hawaii,1803380.0,1642991.0,1184838.0,2143677.0,1045445.0,1611755.0,1550603.0,1554327.0,1652888.0,1608369.0,2083986.0,1611897.0,19494156
Idaho,1520785.0,1481179.0,1460456.0,906736.0,1940098.0,1384847.0,1410358.0,1384311.0,850371.0,1406713.0,1973932.0,1429464.0,17149250
Nevada,2876842.0,2702316.0,2632316.0,2725227.0,2444104.0,2546118.0,2696600.0,2558644.0,2591596.0,2735851.0,2758569.0,2656662.0,31924845
Oregon,4036077.0,3927231.0,5167425.0,4036339.0,3707157.0,2677424.0,4982100.0,2621923.0,3890702.0,3846728.0,5025776.0,3878971.0,47797853
Washington,8195112.0,7593730.0,7616578.0,8008417.0,7148537.0,7277962.0,7688667.0,7391659.0,7475704.0,7759678.0,7582417.0,7691744.0,91430205
Northern Marianas,273015.0,240756.0,248356.0,262101.0,257675.0,263116.0,271703.0,263343.0,269196.0,254939.0,241690.0,252762.0,3098652
"Inter-Tribal Council, AZ",347462.0,349227.0,179402.0,543426.0,322733.0,321952.0,193338.0,536988.0,379167.0,386211.0,216522.0,549062.0,4325490
"Navajo Nation, AZ",-5806.0,503877.0,997417.0,469922.0,437612.0,435534.0,458092.0,430033.0,326166.0,472371.0,585119.0,220352.0,5330689
"Inter-Tribal Council, NV",50414.0,50676.0,48243.0,72996.0,18269.0,69048.0,71101.0,23235.0,49345.0,70522.0,2334.0,47272.0,573455
