State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Cumulative Cost
Connecticut,2614130.0,2365214.0,2330445.0,2517387.0,2163427.0,2455080.0,2582122.0,2441394.0,2529290.0,2607295.0,2491984.0,2472035.0,29569803
Maine,1058301.0,956182.0,1021100.0,1007402.0,919293.0,961137.0,981450.0,939278.0,905895.0,920156.0,902949.0,1245169.0,11818312
Massachusetts,4848373.0,4395560.0,4223490.0,4260398.0,3697131.0,4176890.0,4457740.0,4214676.0,4426082.0,4414152.0,4481099.0,4393411.0,51989002
New Hampshire,264581.0,751582.0,459707.0,503038.0,433744.0,506417.0,492427.0,419204.0,512203.0,532291.0,546273.0,410280.0,5831747
New York,27221727.0,25659018.0,25183315.0,26364825.0,24230783.0,25259926.0,25975669.0,24200642.0,25341310.0,25468527.0,25187505.0,25423686.0,305516933
Rhode Island,946046.0,942076.0,950303.0,875607.0,920336.0,824767.0,904445.0,928211.0,864687.0,529621.0,1374163.0,941371.0,11001633
Vermont,726967.0,782576.0,764652.0,736697.0,727107.0,711036.0,714366.0,716334.0,715691.0,738113.0,694491.0,717021.0,8745051
"Indian Township, ME",5362.0,5383.0,5355.0,6278.0,6128.0,5511.0,4981.0,5530.0,5016.0,4767.0,4929.0,5443.0,64683
"Pleasant Point, ME",5148.0,5465.0,5144.0,5520.0,5059.0,5127.0,5745.0,5463.0,5558.0,6274.0,5180.0,4092.0,63775
"Seneca Nation, NY",7335.0,6254.0,6622.0,7097.0,3129.0,9664.0,6622.0,5473.0,5000.0,6983.0,7196.0,6559.0,77934
Delaware,1214364.0,730005.0,426469.0,729594.0,737153.0,761348.0,715323.0,765751.0,817061.0,756679.0,762534.0,827210.0,9243491
District of Columbia,664692.0,542018.0,666365.0,664064.0,479018.0,718894.0,536154.0,659625.0,699691.0,779250.0,426870.0,834343.0,7670984
Maryland,6418421.0,8362334.0,4405916.0,8388439.0,8167344.0,3564881.0,6512175.0,6068359.0,4457032.0,6159812.0,8674589.0,6194095.0,77373397
New Jersey,9284081.0,8619354.0,8588635.0,8989280.0,7989509.0,8640558.0,8670263.0,8384120.0,8528356.0,9046162.0,8448905.0,8568137.0,103757360
Pennsylvania,7620766.0,9551473.0,14233762.0,11324658.0,9204793.0,10965534.0,15687462.0,10197999.0,5981676.0,11601904.0,15665574.0,13543377.0,135578978
Puerto Rico,14108423.0,14352416.0,13868855.0,14455401.0,14565249.0,13693382.0,14120741.0,14386200.0,14132116.0,14181571.0,14535452.0,14671034.0,171070840
Virginia,16734.0,4905144.0,4538992.0,1962281.0,4284088.0,7223893.0,4950494.0,7364554.0,1810996.0,7446118.0,2278218.0,4622563.0,51404075
Virgin Islands,334712.0,356274.0,339003.0,343958.0,352684.0,334531.0,397380.0,304663.0,340307.0,348711.0,343923.0,353524.0,4149670
West Virginia,2551491.0,1662519.0,1728668.0,2560552.0,588093.0,1498131.0,1776133.0,1488914.0,1725026.0,701499.0,1619407.0,1724022.0,19624455
Alabama,8719824.0,2422121.0,9188793.0,4325493.0,7881532.0,6093663.0,6400185.0,3535921.0,6328350.0,6649218.0,8907030.0,6192789.0,76644919
Florida,20917397.0,20618452.0,23120920.0,17852368.0,18911116.0,19612634.0,20399541.0,19469946.0,20408657.0,20863021.0,21305284.0,21375782.0,244855118
Georgia,11675329.0,10619763.0,10248129.0,11241765.0,9362400.0,9491799.0,11113849.0,10290260.0,10716051.0,11076490.0,10237403.0,10884095.0,126957333
Kentucky,4990340.0,4760899.0,4619078.0,7271425.0,4399848.0,4540599.0,2353244.0,4615825.0,4837499.0,4921643.0,4919459.0,7331156.0,59561015
Mississippi,5250123.0,4460808.0,4848645.0,5721008.0,3956519.0,4962953.0,5299278.0,4598142.0,4581621.0,5428817.0,4713327.0,2974530.0,56795771
North Carolina,12890221.0,9536474.0,11489470.0,9235414.0,7431613.0,10910417.0,11231378.0,10135731.0,10912981.0,11382800.0,10921440.0,11560347.0,127638286
South Carolina,5435510.0,5314977.0,5357586.0,5440820.0,4982147.0,5081788.0,5220363.0,5086005.0,5414178.0,5178553.0,5274804.0,5370499.0,63157230
Tennessee,6632315.0,6412272.0,6086337.0,2324563.0,5660500.0,9344641.0,2197470.0,5955792.0,6033933.0,6244576.0,9564285.0,2411243.0,68867927
"Choctaw Indians, MS",37539.0,28944.0,26633.0,32430.0,21100.0,28692.0,27216.0,29319.0,34476.0,33230.0,31041.0,36029.0,366649
"Eastern Cherokee, NC",37934.0,36362.0,15906.0,17057.0,4379.0,31125.0,23912.0,16956.0,25435.0,26759.0,21660.0,24280.0,281765
Illinois,14627389.0,11885763.0,13965024.0,11815977.0,9910359.0,13386089.0,14396385.0,12918537.0,12425966.0,9328988.0,9374929.0,9899158.0,143934564
Indiana,6689267.0,6015560.0,5923305.0,6346097.0,5328619.0,5502835.0,6132762.0,5639005.0,5809495.0,6095415.0,6076673.0,5753165.0,71312198
Michigan,9645508.0,9668522.0,9760216.0,9548068.0,9247158.0,9265841.0,9103542.0,9499722.0,9028839.0,9717429.0,9368011.0,9616630.0,113469486
Minnesota,1969886.0,4561345.0,5673284.0,5895428.0,4076222.0,5794098.0,5633585.0,4562818.0,5423790.0,6065943.0,4952802.0,8541392.0,63150593
Ohio,9189299.0,8670890.0,8985757.0,4035791.0,12797548.0,7978658.0,9022004.0,8355243.0,4060813.0,13242568.0,8160227.0,7354171.0,101852969
Wisconsin,5097047.0,4796394.0,4782437.0,5027045.0,4340925.0,4648743.0,4808463.0,4562601.0,4730860.0,4783444.0,4668595.0,4387595.0,56634149
Arkansas,3155328.0,3109577.0,3736207.0,4076416.0,3452404.0,3583813.0,3724685.0,3858318.0,3964478.0,3954229.0,3869894.0,3790409.0,44275758
Louisiana,6557532.0,6200874.0,6255088.0,6362428.0,5650223.0,6089931.0,6148967.0,5846194.0,6223981.0,6163046.0,6478113.0,6348124.0,74324501
New Mexico,937637.0,1874053.0,1887713.0,1978256.0,1697583.0,1744908.0,1889583.0,1812407.0,2883170.0,1902562.0,1893766.0,1982962.0,22484600
Oklahoma,3417976.0,3667939.0,3068048.0,3495012.0,3221752.0,2322086.0,3560976.0,3575390.0,3048926.0,3600954.0,3416970.0,3280499.0,39676528
Texas,,,,,,,,,,,,, 
