State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
Connecticut,998.0,923.0,951.0,970.0,953.0,960.0,973.0,971.0,985.0,977.0,934.0,961.0,963.0
Maine,964.0,955.0,968.0,910.0,916.0,921.0,895.0,879.0,871.0,843.0,856.0,812.0,899.1666666666666
Massachusetts,3327.0,3053.0,3107.0,3068.0,2965.0,3036.0,3046.0,3080.0,3060.0,3099.0,3085.0,3092.0,3084.8333333333335
New Hampshire,636.0,647.0,643.0,651.0,637.0,661.0,630.0,659.0,649.0,657.0,648.0,646.0,647.0
New York,9440.0,9313.0,9313.0,9197.0,9245.0,9649.0,9787.0,9754.0,9865.0,9925.0,10105.0,9893.0,9623.833333333334
Rhode Island,487.0,481.0,508.0,525.0,538.0,547.0,535.0,502.0,522.0,497.0,487.0,492.0,510.0833333333333
Vermont,770.0,759.0,758.0,757.0,752.0,751.0,766.0,728.0,737.0,676.0,690.0,704.0,737.3333333333334
"Indian Township, ME",6.0,5.0,4.0,3.0,1.0,0.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0
"Pleasant Point, ME",2.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,2.5833333333333335
"Seneca Nation, NY",1.0,2.0,3.0,5.0,5.0,4.0,5.0,6.0,7.0,8.0,9.0,13.0,5.666666666666667
Delaware,497.0,419.0,375.0,360.0,366.0,367.0,382.0,418.0,420.0,410.0,395.0,373.0,398.5
District of Columbia,343.0,359.0,378.0,386.0,386.0,416.0,431.0,417.0,428.0,455.0,458.0,462.0,409.9166666666667
Maryland,4158.0,4020.0,3967.0,3938.0,3851.0,3967.0,4051.0,4017.0,4078.0,4154.0,4153.0,4158.0,4042.6666666666665
New Jersey,4211.0,4165.0,4141.0,4099.0,4156.0,4145.0,4315.0,4290.0,4337.0,4400.0,4489.0,4408.0,4263.0
Pennsylvania,9633.0,8590.0,8455.0,8458.0,8286.0,8467.0,8408.0,8361.0,8387.0,8573.0,8567.0,8687.0,8572.666666666666
Puerto Rico,4460.0,4097.0,4075.0,4103.0,4204.0,4246.0,4292.0,4296.0,4318.0,4387.0,4390.0,4568.0,4286.333333333333
Virginia,4378.0,4295.0,4371.0,4147.0,4034.0,4104.0,4165.0,4199.0,4187.0,4269.0,4171.0,4202.0,4210.166666666667
Virgin Islands,89.0,91.0,98.0,98.0,95.0,92.0,96.0,102.0,100.0,99.0,94.0,101.0,96.25
West Virginia,1086.0,1076.0,1064.0,1089.0,1070.0,1068.0,1041.0,1176.0,1206.0,1208.0,1197.0,1252.0,1127.75
Alabama,1784.0,1722.0,1722.0,1747.0,1684.0,1725.0,1757.0,1790.0,1741.0,1759.0,1782.0,1859.0,1756.0
Florida,13242.0,12831.0,12700.0,12840.0,12911.0,13196.0,13148.0,13195.0,13272.0,13559.0,13792.0,14126.0,13234.333333333334
Georgia,7125.0,6629.0,6121.0,5964.0,5659.0,5640.0,5557.0,5578.0,5562.0,5668.0,5605.0,5647.0,5896.25
Kentucky,2210.0,2117.0,2112.0,2167.0,2137.0,2186.0,2151.0,2201.0,2165.0,2175.0,2227.0,2236.0,2173.6666666666665
Mississippi,743.0,726.0,685.0,714.0,738.0,769.0,754.0,722.0,700.0,727.0,753.0,775.0,733.8333333333334
North Carolina,7521.0,7320.0,7298.0,7310.0,7675.0,7152.0,7636.0,7685.0,7889.0,8088.0,8210.0,8411.0,7682.916666666667
South Carolina,2808.0,2748.0,2739.0,2796.0,2704.0,2793.0,2779.0,2813.0,2820.0,2803.0,2774.0,2728.0,2775.4166666666665
Tennessee,3990.0,3909.0,3906.0,3862.0,3740.0,3769.0,3793.0,4064.0,3914.0,3828.0,3865.0,3851.0,3874.25
"Choctaw Indians, MS",2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.6666666666666667
"Eastern Cherokee, NC",29.0,29.0,27.0,19.0,17.0,23.0,22.0,19.0,21.0,27.0,22.0,25.0,23.333333333333332
Illinois,6148.0,6012.0,5954.0,5802.0,5583.0,5626.0,5688.0,5536.0,5546.0,5590.0,5438.0,5564.0,5707.25
Indiana,3661.0,3563.0,3563.0,3584.0,3633.0,3659.0,3643.0,3588.0,3565.0,3561.0,3630.0,3616.0,3605.5
Michigan,8349.0,8107.0,7967.0,7965.0,7864.0,8041.0,7935.0,7949.0,7853.0,7854.0,7919.0,7906.0,7975.75
Minnesota,4104.0,3987.0,3944.0,4011.0,3941.0,4019.0,3955.0,3893.0,3846.0,3777.0,3727.0,3685.0,3907.4166666666665
Ohio,6349.0,6227.0,6100.0,6066.0,5770.0,5985.0,6094.0,6161.0,6389.0,6464.0,6572.0,6736.0,6242.75
Wisconsin,3353.0,3208.0,3249.0,3296.0,3334.0,3407.0,3406.0,3389.0,3373.0,3404.0,3349.0,3361.0,3344.0833333333335
Arkansas,1840.0,1847.0,1892.0,1988.0,1980.0,1988.0,2019.0,1986.0,2010.0,2006.0,2003.0,2013.0,1964.3333333333333
Louisiana,1707.0,1656.0,1701.0,1553.0,1570.0,1614.0,1551.0,1487.0,1522.0,1530.0,1523.0,1681.0,1591.25
New Mexico,2659.0,2565.0,2518.0,2522.0,2455.0,2485.0,2496.0,2449.0,2452.0,2474.0,2517.0,2613.0,2517.0833333333335
Oklahoma,3140.0,3025.0,3003.0,2701.0,2861.0,2861.0,2900.0,2890.0,2941.0,2857.0,2875.0,2936.0,2915.8333333333335
Texas,,,,,,,,,,,,,0.0
Texas,21635.0,20700.0,20479.0,20397.0,19916.0,20216.0,20464.0,20258.0,20461.0,20583.0,20712.0,21012.0,20569.416666666668
"Acoma, Canoncito & Laguna, NM",33.0,35.0,37.0,37.0,35.0,34.0,35.0,36.0,25.0,35.0,32.0,32.0,33.833333333333336
"Eight Northern Pueblos, NM",6.0,7.0,7.0,5.0,5.0,8.0,8.0,9.0,12.0,7.0,7.0,9.0,7.5
"Five Sandoval Pueblos, NM",10.0,9.0,11.0,9.0,5.0,9.0,10.0,11.0,9.0,7.0,7.0,9.0,8.833333333333334
"Isleta Pueblo, NM",43.0,41.0,44.0,49.0,49.0,51.0,50.0,56.0,55.0,46.0,50.0,46.0,48.333333333333336
"San Felipe Pueblo, NM",15.0,14.0,13.0,14.0,16.0,16.0,14.0,12.0,13.0,18.0,12.0,17.0,14.5
"Santo Domingo Tribe, NM",13.0,11.0,11.0,8.0,8.0,9.0,8.0,10.0,11.0,11.0,7.0,8.0,9.583333333333334
"Zuni Pueblo, NM",74.0,67.0,74.0,65.0,70.0,62.0,64.0,60.0,61.0,53.0,53.0,49.0,62.666666666666664
"Cherokee Nation, OK",168.0,163.0,172.0,157.0,142.0,170.0,165.0,179.0,179.0,168.0,173.0,173.0,167.41666666666666
"Chickasaw Nation, OK",124.0,102.0,104.0,109.0,124.0,131.0,132.0,129.0,125.0,123.0,122.0,122.0,120.58333333333333
"Choctaw Nation, OK",114.0,105.0,101.0,109.0,110.0,93.0,89.0,88.0,87.0,80.0,98.0,108.0,98.5
"Citizen Potawatomi Nation, OK",43.0,41.0,38.0,43.0,35.0,34.0,34.0,34.0,37.0,40.0,46.0,49.0,39.5
"Inter-Tribal Council, OK",27.0,27.0,24.0,26.0,25.0,22.0,29.0,27.0,29.0,21.0,16.0,12.0,23.75
"Muscogee Creek Nation, OK",76.0,73.0,71.0,74.0,70.0,74.0,67.0,73.0,80.0,91.0,92.0,85.0,77.16666666666667
"Osage Tribal Council, OK",46.0,49.0,44.0,52.0,49.0,48.0,44.0,47.0,50.0,50.0,55.0,46.0,48.333333333333336
"Otoe-Missouria Tribe, OK",16.0,17.0,16.0,16.0,12.0,12.0,17.0,15.0,19.0,24.0,22.0,20.0,17.166666666666668
"Wichita, Caddo & Delaware (WCD), OK",120.0,106.0,97.0,91.0,98.0,93.0,93.0,84.0,85.0,96.0,97.0,94.0,96.16666666666667
Colorado,4545.0,4472.0,4422.0,4411.0,4446.0,4519.0,4481.0,4485.0,4480.0,4402.0,4423.0,4430.0,4459.666666666667
Iowa,1274.0,1252.0,1250.0,1267.0,1256.0,1226.0,1240.0,1231.0,1274.0,1276.0,1252.0,1290.0,1257.3333333333333
Kansas,2399.0,2314.0,2266.0,2338.0,2294.0,2319.0,2273.0,2256.0,2218.0,2251.0,2313.0,2366.0,2300.5833333333335
Missouri,4773.0,4758.0,4693.0,4656.0,4660.0,4636.0,4629.0,4564.0,4552.0,4655.0,4746.0,4712.0,4669.5
Montana,1005.0,978.0,967.0,936.0,923.0,927.0,907.0,903.0,863.0,912.0,934.0,904.0,929.9166666666666
Nebraska,1040.0,973.0,957.0,964.0,934.0,929.0,913.0,907.0,957.0,952.0,950.0,925.0,950.0833333333334
North Dakota,527.0,509.0,515.0,518.0,509.0,518.0,508.0,503.0,500.0,508.0,520.0,506.0,511.75
South Dakota,685.0,676.0,667.0,663.0,687.0,696.0,682.0,685.0,662.0,696.0,690.0,713.0,683.5
Utah,3953.0,3836.0,3803.0,3802.0,3887.0,3851.0,3812.0,3760.0,3745.0,3642.0,3641.0,3666.0,3783.1666666666665
Wyoming,587.0,555.0,555.0,555.0,556.0,599.0,602.0,585.0,615.0,623.0,614.0,624.0,589.1666666666666
"Ute Mountain Ute Tribe, CO",3.0,3.0,4.0,3.0,4.0,6.0,8.0,6.0,7.0,8.0,8.0,5.0,5.416666666666667
"Omaha Sioux, NE",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.6666666666666666
"Santee Sioux, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333
"Winnebago Tribe, NE",1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
"Standing Rock Sioux Tribe, ND",5.0,5.0,5.0,5.0,2.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,4.75
"Three Affiliated Tribes, ND",1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,0.0,2.0
"Cheyenne River Sioux, SD",6.0,8.0,7.0,7.0,13.0,14.0,11.0,13.0,12.0,11.0,11.0,8.0,10.083333333333334
"Rosebud Sioux, SD",25.0,24.0,24.0,21.0,25.0,25.0,34.0,38.0,42.0,39.0,36.0,39.0,31.0
"Northern Arapahoe, WY",17.0,18.0,18.0,18.0,12.0,6.0,4.0,5.0,8.0,9.0,11.0,11.0,11.416666666666666
"Shoshone Tribe, WY",5.0,5.0,4.0,3.0,3.0,4.0,8.0,8.0,6.0,9.0,7.0,7.0,5.75
Mountain Plains,20852.0,20389.0,20160.0,20172.0,20213.0,20279.0,20116.0,19958.0,19954.0,20005.0,20166.0,20212.0,20206.333333333332
Alaska,1381.0,1145.0,1133.0,1138.0,1176.0,1213.0,1233.0,1244.0,1210.0,1238.0,1248.0,1228.0,1215.5833333333333
American Samoa,104.0,100.0,94.0,98.0,83.0,83.0,87.0,85.0,81.0,83.0,91.0,80.0,89.08333333333333
Arizona,4711.0,4665.0,4441.0,4389.0,4205.0,4070.0,3965.0,3959.0,4004.0,3985.0,4080.0,4236.0,4225.833333333333
California,58155.0,55659.0,55429.0,56043.0,54584.0,55651.0,55545.0,54129.0,55066.0,54831.0,54980.0,54342.0,55367.833333333336
Guam,305.0,288.0,251.0,262.0,261.0,281.0,295.0,279.0,278.0,276.0,279.0,293.0,279.0
Hawaii,1848.0,1702.0,1658.0,1672.0,1675.0,1698.0,1739.0,1665.0,1673.0,1700.0,1647.0,1611.0,1690.6666666666667
Idaho,3166.0,3109.0,3156.0,3217.0,3157.0,3180.0,3154.0,3120.0,3039.0,3026.0,2971.0,3040.0,3111.25
Nevada,2482.0,2529.0,2463.0,2471.0,2418.0,2495.0,2512.0,2554.0,2552.0,2598.0,2617.0,2597.0,2524.0
Oregon,7259.0,7026.0,6983.0,6946.0,6940.0,7036.0,7134.0,7025.0,6998.0,7049.0,6957.0,6869.0,7018.5
Washington,9909.0,9937.0,9891.0,9957.0,9715.0,9925.0,9871.0,9664.0,9716.0,9747.0,9730.0,9866.0,9827.333333333334
Northern Marianas,75.0,74.0,75.0,74.0,65.0,69.0,72.0,70.0,80.0,79.0,80.0,79.0,74.33333333333333
"Inter-Tribal Council, AZ",293.0,263.0,271.0,306.0,284.0,304.0,300.0,296.0,288.0,321.0,324.0,323.0,297.75
"Navajo Nation, AZ",510.0,495.0,471.0,463.0,451.0,452.0,406.0,395.0,407.0,395.0,380.0,393.0,434.8333333333333
"Inter-Tribal Council, NV",77.0,81.0,87.0,81.0,73.0,67.0,65.0,64.0,65.0,63.0,74.0,55.0,71.0
