State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
Connecticut,11971.0,11135.0,11211.0,11098.0,10764.0,11195.0,11257.0,11085.0,11257.0,11344.0,11117.0,11060.0,11207.833333333334
Maine,4801.0,4601.0,4649.0,4604.0,4547.0,4682.0,4749.0,4750.0,4608.0,4684.0,4619.0,4542.0,4653
Massachusetts,26826.0,25865.0,25845.0,25717.0,25044.0,25831.0,26021.0,25889.0,26015.0,25944.0,25731.0,25758.0,25873.833333333332
New Hampshire,3448.0,3388.0,3351.0,3323.0,3225.0,3312.0,3316.0,3326.0,3346.0,3350.0,3265.0,3268.0,3326.5
New York,116599.0,113329.0,112359.0,110920.0,110422.0,112041.0,112404.0,112424.0,113269.0,112990.0,112505.0,111535.0,112566.41666666667
Rhode Island,4935.0,4685.0,4670.0,4644.0,4477.0,4546.0,4544.0,4429.0,4529.0,4588.0,4549.0,4619.0,4601.25
Vermont,3031.0,3022.0,2967.0,2951.0,2934.0,2868.0,2808.0,2810.0,2777.0,2862.0,2831.0,2822.0,2890.25
"Indian Township, ME",22.0,23.0,23.0,22.0,19.0,16.0,18.0,17.0,14.0,11.0,10.0,12.0,17.25
"Pleasant Point, ME",21.0,21.0,18.0,18.0,18.0,20.0,22.0,19.0,19.0,18.0,15.0,13.0,18.5
"Seneca Nation, NY",48.0,49.0,52.0,58.0,56.0,48.0,44.0,41.0,36.0,50.0,54.0,54.0,49.166666666666664
Delaware,4475.0,4306.0,4300.0,4240.0,4237.0,4149.0,4214.0,4334.0,4450.0,4507.0,4410.0,4341.0,4330.25
District of Columbia,3872.0,3823.0,3740.0,3755.0,3673.0,3781.0,3849.0,3838.0,3862.0,3860.0,3891.0,3852.0,3816.3333333333335
Maryland,34879.0,34275.0,34025.0,34237.0,33906.0,33990.0,34237.0,34020.0,34293.0,34261.0,34195.0,34186.0,34208.666666666664
New Jersey,38009.0,36873.0,36704.0,36231.0,35846.0,36572.0,36969.0,37049.0,37288.0,37529.0,37485.0,37067.0,36968.5
Pennsylvania,57024.0,55697.0,54900.0,54457.0,53755.0,54110.0,54762.0,54617.0,54899.0,55111.0,54715.0,54640.0,54890.583333333336
Puerto Rico,34173.0,32429.0,31968.0,31941.0,31932.0,32198.0,32225.0,31750.0,31873.0,31582.0,31460.0,31647.0,32098.166666666668
Virginia,35352.0,34829.0,34383.0,34372.0,33455.0,34143.0,34698.0,34647.0,34848.0,35018.0,35604.0,35572.0,34743.416666666664
Virgin Islands,1046.0,1017.0,1006.0,1029.0,1051.0,1035.0,1056.0,1038.0,1069.0,1068.0,1060.0,1093.0,1047.3333333333333
West Virginia,10349.0,10184.0,10050.0,10129.0,9787.0,9775.0,9819.0,9786.0,9837.0,9932.0,10090.0,10156.0,9991.166666666666
Alabama,33579.0,32956.0,32771.0,33025.0,32277.0,32406.0,32667.0,32737.0,32913.0,33029.0,33179.0,33062.0,32883.416666666664
Florida,121614.0,118872.0,116602.0,117972.0,117860.0,118610.0,118806.0,118715.0,118852.0,119539.0,120201.0,120559.0,119016.83333333333
Georgia,70053.0,67290.0,66657.0,66757.0,65183.0,65713.0,65491.0,65736.0,66269.0,66238.0,65717.0,65989.0,66424.41666666667
