Geographic Information,Unnamed: 1,Unnamed: 2,All Ages,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Age 0-17,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Age 5-17 in Families,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Median Household Income,Unnamed: 22,Unnamed: 23,Age 0-4,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,44268996,44022086,44515906,14,13.9,14.1,14115713,13976345,14255081,19.5,19.3,19.7,9648486,9548767,9748205,18.3,18.1,18.5,57617,57502,57732,4156949,4108397,4205501,21.3,21.1,21.5
01,AL,Alabama,814197,796927,831467,17.2,16.8,17.6,267674,258276,277072,24.7,23.8,25.6,185889,177569,194209,23.5,22.4,24.6,46309,45650,46968,78675,74257,83093,27.4,25.9,28.9
02,AK,Alaska,71916,67813,76019,9.9,9.3,10.5,24897,22566,27228,13.6,12.3,14.9,16061,13965,18157,12.3,10.7,13.9,76144,74375,77913,7919,6898,8940,15.1,13.2,17
04,AZ,Arizona,1107153,1086482,1127824,16.4,16.1,16.7,377445,365817,389073,23.6,22.9,24.3,263614,253154,274074,22.6,21.7,23.5,53481,52863,54099,106817,101686,111948,24.9,23.7,26.1
05,AR,Arkansas,497388,485180,509596,17.2,16.8,17.6,165724,158736,172712,24,23,25,112376,106203,118549,22.3,21.1,23.5,44406,43530,45282,50341,47095,53587,27.3,25.5,29.1
06,CA,California,5527621,5475835,5579407,14.4,14.3,14.5,1782764,1754881,1810647,19.9,19.6,20.2,1242780,1218049,1267511,19.2,18.8,19.6,67715,67361,68069,502432,489415,515449,20.7,20.2,21.2
08,CO,Colorado,598378,585017,611739,11,10.8,11.2,166581,158879,174283,13.4,12.8,14,115917,109303,122531,12.8,12.1,13.5,65718,65097,66339,46111,42217,50005,13.9,12.7,15.1
09,CT,Connecticut,342171,330966,353376,9.9,9.6,10.2,97462,91333,103591,13.1,12.3,13.9,67644,61924,73364,12.1,11.1,13.1,73380,72386,74374,27362,24926,29798,15.2,13.8,16.6
10,DE,Delaware,109592,104742,114442,11.8,11.3,12.3,35702,33039,38365,17.7,16.4,19,23942,21621,26263,16.3,14.7,17.9,62112,60792,63432,10824,9579,12069,20.1,17.8,22.4
11,DC,District of Columbia,119778,113591,125965,18.5,17.5,19.5,32715,29457,35973,27.6,24.9,30.3,21997,19147,24847,29,25.2,32.8,74093,71880,76306,10033,8628,11438,23.7,20.4,27
12,FL,Florida,2986237,2947397,3025077,14.8,14.6,15,869892,848431,891353,21.3,20.8,21.8,594181,575167,613195,20.1,19.5,20.7,50857,50616,51098,259244,249470,269018,23.5,22.6,24.4
13,GA,Georgia,1612368,1586263,1638473,16.1,15.8,16.4,572102,555546,588658,23.1,22.4,23.8,390690,375891,405489,21.5,20.7,22.3,53468,52778,54158,172046,164841,179251,26.6,25.5,27.7
15,HI,Hawaii,132597,125573,139621,9.5,9,10,33801,30628,36974,11.2,10.1,12.3,21877,19032,24722,10.4,9.1,11.7,74659,73083,76235,10436,8986,11886,11.8,10.2,13.4
16,ID,Idaho,228037,218768,237306,13.8,13.2,14.4,71836,66858,76814,16.6,15.4,17.8,47196,42727,51665,15,13.6,16.4,51647,50736,52558,22375,20239,24511,19.7,17.8,21.6
17,IL,Illinois,1620974,1595624,1646324,13,12.8,13.2,512256,497759,526753,17.8,17.3,18.3,356538,344146,368930,16.8,16.2,17.4,60977,60591,61363,145710,138489,152931,19.3,18.3,20.3
18,IN,Indiana,899168,881690,916646,14,13.7,14.3,294900,283937,305863,19.1,18.4,19.8,201287,191316,211258,17.9,17,18.8,52289,51922,52656,85922,81057,90787,21,19.8,22.2
19,IA,Iowa,354429,345224,363634,11.7,11.4,12,104340,98793,109887,14.6,13.8,15.4,67487,62487,72487,13,12,14,56354,55677,57031,33771,31346,36196,17.4,16.2,18.6
20,KS,Kansas,343773,333475,354071,12.2,11.8,12.6,100996,95278,106714,14.3,13.5,15.1,67810,62874,72746,13.2,12.2,14.2,54828,53976,55680,30377,27577,33177,16,14.5,17.5
21,KY,Kentucky,782779,766290,799268,18.2,17.8,18.6,241231,232633,249829,24.4,23.5,25.3,164086,156662,171510,23,22,24,46610,46022,47198,70987,66861,75113,26.6,25.1,28.1
22,LA,Louisiana,911970,893612,930328,20.1,19.7,20.5,310392,300027,320757,28.4,27.5,29.3,214016,205039,222993,27.3,26.2,28.4,45374,44621,46127,91982,86699,97265,30.3,28.6,32
23,ME,Maine,159523,153218,165828,12.3,11.8,12.8,41428,38420,44436,16.7,15.5,17.9,28137,25440,30834,15.3,13.8,16.8,52926,51690,54162,11695,10370,13020,18.7,16.6,20.8
24,MD,Maryland,572786,559536,586036,9.7,9.5,9.9,172868,165445,180291,13,12.4,13.6,117468,111438,123498,12.2,11.6,12.8,78787,78070,79504,50081,46056,54106,13.9,12.8,15
25,MA,Massachusetts,688366,672883,703849,10.5,10.3,10.7,184610,176848,192372,13.6,13,14.2,123789,117583,129995,12.4,11.8,13,75207,74461,75953,54952,50579,59325,15.5,14.3,16.7
26,MI,Michigan,1449683,1430043,1469323,14.9,14.7,15.1,444100,433082,455118,20.7,20.2,21.2,297400,287719,307081,18.9,18.3,19.5,52436,52038,52834,133735,128718,138752,23.9,23,24.8
27,MN,Minnesota,531789,519414,544164,9.9,9.7,10.1,158751,151529,165973,12.5,11.9,13.1,106426,100077,112775,11.6,10.9,12.3,65583,64989,66177,46337,43019,49655,13.4,12.4,14.4
28,MS,Mississippi,606873,592527,621219,21,20.5,21.5,214012,206057,221967,30.2,29.1,31.3,151716,144647,158785,29.1,27.7,30.5,41793,41247,42339,59513,55912,63114,32.1,30.2,34
