Geographic Information,Unnamed: 1,Unnamed: 2,All Ages,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Age 0-17,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Age 5-17 in Families,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Median Household Income,Unnamed: 22,Unnamed: 23,Age 0-4,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
29,MO,Missouri,826358,809923,842793,14,13.7,14.3,260867,250937,270797,19.2,18.5,19.9,171750,162974,180526,17.5,16.6,18.4,51713,51343,52083,80199,75816,84582,22,20.8,23.2
30,MT,Montana,136439,130979,141899,13.4,12.9,13.9,36016,33426,38606,16.1,14.9,17.3,24064,21753,26375,15,13.6,16.4,50265,49243,51287,10940,9737,12143,17.8,15.8,19.8
31,NE,Nebraska,208864,201705,216023,11.3,10.9,11.7,64333,59964,68702,13.9,13,14.8,41851,38134,45568,12.6,11.5,13.7,56979,56240,57718,20548,18295,22801,15.8,14.1,17.5
32,NV,Nevada,407308,394452,420164,14.1,13.7,14.5,132012,125182,138842,19.9,18.9,20.9,88913,82870,94956,18.5,17.2,19.8,55201,54342,56060,39500,36363,42637,22,20.3,23.7
33,NH,New Hampshire,97753,92007,103499,7.6,7.2,8,21896,19487,24305,8.5,7.6,9.4,14329,12204,16454,7.5,6.4,8.6,70986,69715,72257,6300,5187,7413,10,8.2,11.8
34,NJ,New Jersey,915390,895106,935674,10.4,10.2,10.6,283761,271344,296178,14.5,13.9,15.1,197218,186415,208021,13.6,12.9,14.3,76212,75530,76894,81390,75620,87160,15.9,14.8,17
35,NM,New Mexico,390461,380077,400845,19.1,18.6,19.6,134546,128423,140669,27.8,26.5,29.1,93042,87819,98265,26.2,24.7,27.7,46844,46050,47638,39733,36561,42905,31.4,28.9,33.9
36,NY,New York,2843954,2812221,2875687,14.8,14.6,15,853769,837330,870208,20.8,20.4,21.2,585700,571575,599825,19.8,19.3,20.3,62700,62081,63319,252227,244220,260234,22.3,21.6,23
37,NC,North Carolina,1523034,1498821,1547247,15.4,15.2,15.6,490775,476734,504816,21.7,21.1,22.3,336152,324288,348016,20.3,19.6,21,50595,50305,50885,143903,136635,151171,24.3,23.1,25.5
38,ND,North Dakota,76951,72578,81324,10.5,9.9,11.1,20518,18466,22570,11.9,10.7,13.1,12289,10587,13991,10.5,9,12,61898,60498,63298,7421,6279,8563,13.7,11.6,15.8
39,OH,Ohio,1639636,1614177,1665095,14.5,14.3,14.7,521730,506894,536566,20.4,19.8,21,348713,335691,361735,18.7,18,19.4,52357,52083,52631,160833,153884,167782,23.7,22.7,24.7
40,OK,Oklahoma,615050,603867,626233,16.1,15.8,16.4,212700,205486,219914,22.5,21.7,23.3,143615,137398,149832,21.1,20.2,22,49204,48594,49814,64653,61316,67990,24.9,23.6,26.2
41,OR,Oregon,538169,524488,551850,13.4,13.1,13.7,146609,139298,153920,17.2,16.3,18.1,97096,90871,103321,15.8,14.8,16.8,57379,56560,58198,42457,38670,46244,18.5,16.8,20.2
42,PA,Pennsylvania,1589584,1565866,1613302,12.9,12.7,13.1,482298,468656,495940,18.4,17.9,18.9,329959,318035,341883,17.2,16.6,17.8,56897,56540,57254,139441,132852,146030,20.1,19.2,21
44,RI,Rhode Island,134683,128893,140473,13.3,12.7,13.9,38682,35950,41414,18.7,17.4,20,25687,23318,28056,17,15.4,18.6,60046,58657,61435,11708,10342,13074,21.7,19.2,24.2
45,SC,South Carolina,739574,723077,756071,15.3,15,15.6,249108,239722,258494,23,22.1,23.9,172272,163864,180680,21.8,20.7,22.9,49587,48997,50177,72788,68494,77082,25.4,23.9,26.9
46,SD,South Dakota,107953,103265,112641,12.9,12.3,13.5,34790,32428,37152,16.6,15.5,17.7,22601,20577,24625,15.2,13.8,16.6,54926,53748,56104,11257,10144,12370,18.7,16.8,20.6
47,TN,Tennessee,1023825,1005630,1042020,15.8,15.5,16.1,333899,323088,344710,22.6,21.9,23.3,226833,217573,236093,21.1,20.2,22,48506,47850,49162,102127,96738,107516,25.8,24.4,27.2
48,TX,Texas,4261291,4214422,4308160,15.6,15.4,15.8,1616085,1589201,1642969,22.4,22,22.8,1111489,1087524,1135454,21.4,20.9,21.9,56583,56285,56881,481319,468119,494519,24.3,23.6,25
49,UT,Utah,307270,295740,318800,10.2,9.8,10.6,100216,93589,106843,11,10.3,11.7,65123,59017,71229,9.9,9,10.8,65931,65028,66834,31891,28879,34903,12.8,11.6,14
50,VT,Vermont,67825,64114,71536,11.3,10.7,11.9,15614,13992,17236,13.5,12.1,14.9,10384,8942,11826,12.2,10.5,13.9,57661,56228,59094,4561,3824,5298,15.2,12.7,17.7
51,VA,Virginia,897244,877329,917159,11,10.8,11.2,262642,251968,273316,14.3,13.7,14.9,180953,171695,190211,13.6,12.9,14.3,68127,67404,68850,73572,68344,78800,14.8,13.8,15.8
53,WA,Washington,808582,791428,825736,11.3,11.1,11.5,222292,212495,232089,13.9,13.3,14.5,146993,138577,155409,12.8,12.1,13.5,67064,66481,67647,66692,62035,71349,15,14,16
54,WV,West Virginia,318368,309231,327505,17.9,17.4,18.4,87806,83461,92151,23.9,22.7,25.1,59301,55483,63119,22.2,20.8,23.6,43175,42135,44215,26744,24759,28729,27.2,25.2,29.2
55,WI,Wisconsin,661465,647308,675622,11.8,11.5,12.1,198425,190238,206612,15.7,15.1,16.3,132061,124924,139198,14.2,13.4,15,56808,56269,57347,59988,55891,64085,18.2,17,19.4
56,WY,Wyoming,62416,58628,66204,10.9,10.2,11.6,15846,14145,17547,11.6,10.4,12.8,9774,8329,11219,10,8.5,11.5,61686,59882,63490,5078,4239,5917,13.7,11.4,16
