Geographic Information,Unnamed: 1,Unnamed: 2,All Ages,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Age 0-17,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Age 5-17 in Families,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Median Household Income,Unnamed: 22,Unnamed: 23,Age 0-4,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,46153077,45878016,46428138,14.7,14.6,14.8,15000273,14862975,15137571,20.7,20.5,20.9,10245028,10145484,10344572,19.5,19.3,19.7,55775,55690,55860,4448211,4397105,4499317,22.8,22.5,23.1
01,AL,Alabama,875853,859781,891925,18.5,18.2,18.8,288450,280320,296580,26.5,25.8,27.2,201222,194143,208301,25.2,24.3,26.1,44833,44110,45556,84382,80530,88234,29.4,28.1,30.7
02,AK,Alaska,74941,71399,78483,10.4,9.9,10.9,26564,24660,28468,14.5,13.5,15.5,16959,15367,18551,13.3,12.1,14.5,73391,71522,75260,8535,7584,9486,15.8,14,17.6
04,AZ,Arizona,1159046,1136666,1181426,17.4,17.1,17.7,394337,382324,406350,24.7,23.9,25.5,274270,263324,285216,23.5,22.6,24.4,51473,51046,51900,113218,108523,117913,27,25.9,28.1
05,AR,Arkansas,540733,528756,552710,18.7,18.3,19.1,182238,175853,188623,26.4,25.5,27.3,122440,116955,127925,24.5,23.4,25.6,42046,41574,42518,56199,53157,59241,30.5,28.9,32.1
06,CA,California,5896255,5844717,5947793,15.4,15.3,15.5,1901985,1875284,1928686,21.2,20.9,21.5,1315288,1291425,1339151,20.3,19.9,20.7,64483,64091,64875,547759,535757,559761,22.3,21.8,22.8
08,CO,Colorado,614410,599548,629272,11.5,11.2,11.8,183216,175283,191149,14.8,14.2,15.4,122519,115855,129183,13.6,12.9,14.3,63945,63089,64801,55162,51075,59249,16.7,15.5,17.9
09,CT,Connecticut,367867,356084,379650,10.6,10.3,10.9,110143,104368,115918,14.6,13.8,15.4,76886,71884,81888,13.6,12.7,14.5,71333,70573,72093,30085,27471,32699,16.4,15,17.8
10,DE,Delaware,115655,110138,121172,12.6,12,13.2,38446,36088,40804,19.1,17.9,20.3,26199,24182,28216,17.9,16.5,19.3,61327,60147,62507,11404,10296,12512,20.7,18.7,22.7
11,DC,District of Columbia,113185,107315,119055,17.7,16.8,18.6,32947,29539,36355,28.3,25.4,31.2,21541,18455,24627,29.3,25.1,33.5,73115,71082,75148,10892,9614,12170,25.6,22.6,28.6
12,FL,Florida,3129061,3091403,3166719,15.8,15.6,16,944415,923958,964872,23.4,22.9,23.9,646658,628795,664521,22,21.4,22.6,49416,49087,49745,280519,270976,290062,26,25.1,26.9
13,GA,Georgia,1705831,1680084,1731578,17.2,16.9,17.5,610161,595487,624835,24.7,24.1,25.3,427825,414957,440693,23.6,22.9,24.3,51225,50856,51594,174035,167317,180753,26.9,25.9,27.9
15,HI,Hawaii,149091,143298,154884,10.7,10.3,11.1,44299,41234,47364,14.5,13.5,15.5,28665,26088,31242,13.4,12.2,14.6,73097,71322,74872,13836,12272,15400,15.4,13.7,17.1
16,ID,Idaho,238646,229473,247819,14.7,14.1,15.3,75056,71051,79061,17.7,16.8,18.6,49492,46079,52905,15.9,14.8,17,48311,47281,49341,23270,21371,25169,20.9,19.2,22.6
17,IL,Illinois,1702210,1676981,1727439,13.6,13.4,13.8,557787,542782,572792,19.1,18.6,19.6,382854,369734,395974,17.9,17.3,18.5,59590,59086,60094,163741,156247,171235,21.3,20.3,22.3
18,IN,Indiana,924428,906481,942375,14.4,14.1,14.7,314486,303600,325372,20.4,19.7,21.1,211780,202402,221158,18.8,18,19.6,50510,50126,50894,95156,89876,100436,23.2,21.9,24.5
19,IA,Iowa,366453,356824,376082,12.1,11.8,12.4,106192,101134,111250,14.9,14.2,15.6,71253,66857,75649,13.7,12.9,14.5,54843,54080,55606,31492,29049,33935,16.3,15,17.6
20,KS,Kansas,366069,355837,376301,12.9,12.5,13.3,119994,114388,125600,16.9,16.1,17.7,78192,73349,83035,15.3,14.4,16.2,53802,52963,54641,38465,35759,41171,19.8,18.4,21.2
21,KY,Kentucky,786345,770810,801880,18.3,17.9,18.7,250180,242109,258251,25.3,24.5,26.1,169618,162702,176534,23.8,22.8,24.8,45178,44714,45642,75486,71385,79587,27.9,26.4,29.4
22,LA,Louisiana,885846,868463,903229,19.5,19.1,19.9,309187,300054,318320,28.1,27.3,28.9,211026,203461,218591,26.7,25.7,27.7,45829,45174,46484,94525,89832,99218,30.9,29.4,32.4
23,ME,Maine,171266,164985,177547,13.2,12.7,13.7,43683,41123,46243,17.5,16.5,18.5,29548,27356,31740,16,14.8,17.2,51419,50597,52241,12196,10985,13407,19.5,17.6,21.4
24,MD,Maryland,583369,568336,598402,9.9,9.6,10.2,184229,175556,192902,13.9,13.2,14.6,122606,114900,130312,12.8,12,13.6,75784,75203,76365,56181,51957,60405,15.5,14.3,16.7
25,MA,Massachusetts,752453,735323,769583,11.5,11.2,11.8,203789,195483,212095,14.9,14.3,15.5,139387,131976,146798,13.9,13.2,14.6,70659,70051,71267,59018,55255,62781,16.4,15.4,17.4
26,MI,Michigan,1524330,1502565,1546095,15.7,15.5,15.9,481421,469457,493385,22.2,21.6,22.8,330996,320484,341508,20.8,20.1,21.5,51063,50820,51306,138623,133216,144030,24.9,23.9,25.9
27,MN,Minnesota,546499,534759,558239,10.2,10,10.4,165217,158109,172325,13.1,12.5,13.7,110093,103956,116230,12.1,11.4,12.8,63459,62805,64113,48782,45457,52107,14.2,13.2,15.2
28,MS,Mississippi,638919,624971,652867,22.1,21.6,22.6,225347,218077,232617,31.5,30.5,32.5,157717,151207,164227,30.1,28.9,31.3,40630,40095,41165,65706,62788,68624,34.6,33.1,36.1
29,MO,Missouri,875704,859879,891529,14.8,14.5,15.1,277687,268502,286872,20.4,19.7,21.1,187316,179546,195086,18.9,18.1,19.7,50200,49789,50611,84223,79490,88956,23,21.7,24.3
30,MT,Montana,144634,139500,149768,14.4,13.9,14.9,41503,39095,43911,18.8,17.7,19.9,26793,24749,28837,16.8,15.5,18.1,49650,48370,50930,13432,12237,14627,22.3,20.3,24.3
31,NE,Nebraska,224696,217304,232088,12.2,11.8,12.6,73349,69286,77412,15.9,15,16.8,47761,44388,51134,14.4,13.4,15.4,55073,54271,55875,22837,20845,24829,17.8,16.2,19.4
32,NV,Nevada,424824,412817,436831,14.9,14.5,15.3,142071,135944,148198,21.6,20.7,22.5,96837,91511,102163,20.1,19,21.2,52544,51612,53476,42203,39339,45067,24.4,22.7,26.1
33,NH,New Hampshire,108293,102000,114586,8.4,7.9,8.9,28590,26213,30967,11,10.1,11.9,19019,16995,21043,9.8,8.8,10.8,70003,68837,71169,8116,7041,9191,12.9,11.2,14.6
34,NJ,New Jersey,945989,926421,965557,10.8,10.6,11,306606,294809,318403,15.5,14.9,16.1,212278,201805,222751,14.6,13.9,15.3,72337,71736,72938,89504,84424,94584,17.3,16.3,18.3
35,NM,New Mexico,405364,394894,415834,19.8,19.3,20.3,133471,128356,138586,27.2,26.2,28.2,91394,86830,95958,25.6,24.3,26.9,45524,44685,46363,40192,37937,42447,30.3,28.6,32
36,NY,New York,2985604,2951419,3019789,15.5,15.3,15.7,921512,902232,940792,22.3,21.8,22.8,631903,615040,648766,21.3,20.7,21.9,60805,60500,61110,275702,266296,285108,23.9,23.1,24.7
37,NC,North Carolina,1607249,1584462,1630036,16.4,16.2,16.6,528760,516088,541432,23.4,22.8,24,362586,351428,373744,21.9,21.2,22.6,47884,47370,48398,156403,150247,162559,26.4,25.4,27.4
38,ND,North Dakota,78613,74610,82616,10.7,10.2,11.2,20716,19014,22418,12.1,11.1,13.1,12410,11027,13793,10.5,9.3,11.7,61674,60168,63180,7437,6507,8367,14.3,12.5,16.1
39,OH,Ohio,1670487,1646455,1694519,14.8,14.6,15,546968,532624,561312,21.2,20.6,21.8,365471,352710,378232,19.3,18.6,20,51086,50853,51319,170403,163810,176996,25.1,24.1,26.1
40,OK,Oklahoma,608507,597199,619815,16,15.7,16.3,207539,200865,214213,22,21.3,22.7,138422,132681,144163,20.4,19.6,21.2,48595,48087,49103,64648,61460,67836,24.7,23.5,25.9
41,OR,Oregon,601626,586548,616704,15.2,14.8,15.6,167322,159592,175052,19.8,18.9,20.7,111155,104397,117913,18.1,17,19.2,54074,53200,54948,50109,46539,53679,22.4,20.8,24
42,PA,Pennsylvania,1624991,1600900,1649082,13.1,12.9,13.3,505576,492082,519070,19.1,18.6,19.6,345046,333412,356680,17.9,17.3,18.5,55683,55309,56057,146932,140774,153090,21,20.1,21.9
44,RI,Rhode Island,143724,137706,149742,14.1,13.5,14.7,43057,40672,45442,20.6,19.5,21.7,29745,27680,31810,19.3,18,20.6,57265,55361,59169,12497,11347,13647,23.1,21,25.2
45,SC,South Carolina,796609,779482,813736,16.8,16.4,17.2,260646,252384,268908,24.4,23.6,25.2,184214,176953,191475,23.5,22.6,24.4,47308,46768,47848,73420,69621,77219,26.1,24.8,27.4
46,SD,South Dakota,111697,106789,116605,13.5,12.9,14.1,36584,34389,38779,17.7,16.6,18.8,23262,21422,25102,16,14.7,17.3,53263,52229,54297,12239,11145,13333,20.5,18.7,22.3
47,TN,Tennessee,1077866,1057666,1098066,16.7,16.4,17,355680,345281,366079,24.1,23.4,24.8,240366,231264,249468,22.4,21.6,23.2,47243,46760,47726,108782,103671,113893,27.7,26.4,29
48,TX,Texas,4255690,4207517,4303863,15.9,15.7,16.1,1634149,1603378,1664920,22.9,22.5,23.3,1125692,1099292,1152092,21.9,21.4,22.4,55668,55355,55981,484428,469430,499426,24.8,24,25.6
49,UT,Utah,331233,320622,341844,11.2,10.8,11.6,115511,108996,122026,12.8,12.1,13.5,74776,69122,80430,11.5,10.6,12.4,62961,61825,64097,36805,33548,40062,14.9,13.6,16.2
50,VT,Vermont,62643,59418,65868,10.4,9.9,10.9,16009,14648,17370,13.7,12.5,14.9,10515,9326,11704,12.2,10.8,13.6,56883,55668,58098,4561,3928,5194,15.6,13.4,17.8
51,VA,Virginia,914226,895213,933239,11.2,11,11.4,275747,266171,285323,15,14.5,15.5,186603,178578,194628,14,13.4,14.6,66263,65730,66796,82761,77957,87565,16.4,15.4,17.4
53,WA,Washington,860734,842651,878817,12.2,11.9,12.5,248383,238353,258413,15.7,15.1,16.3,165494,156493,174495,14.6,13.8,15.4,64080,63310,64850,73455,68970,77940,16.8,15.8,17.8
54,WV,West Virginia,322589,313401,331777,18,17.5,18.5,91962,88004,95920,24.7,23.6,25.8,61328,57935,64721,22.9,21.6,24.2,41969,41200,42738,28552,26605,30499,28.2,26.3,30.1
